start,end,days,balance,market,years,market_vol_pct
2007-02-12,2007-06-05,113,274.97,EURUSD,0.31,5.2
2007-06-20,2007-12-18,181,285.33,EURUSD,0.5,5.9
2009-03-09,2009-06-26,109,450.28,EURUSD,0.3,15.0
2009-08-27,2010-02-03,160,486.94,EURUSD,0.44,8.3
2010-05-10,2010-09-13,126,532.69,EURUSD,0.34,12.6
2011-01-30,2011-05-10,100,564.21,EURUSD,0.27,9.9
2012-09-04,2013-07-18,317,743.37,EURUSD,0.87,7.7
2013-07-18,2014-02-12,209,744.13,EURUSD,0.57,6.5
2014-04-21,2014-12-17,240,753.23,EURUSD,0.66,5.3
2015-08-25,2016-03-23,211,893.21,EURUSD,0.58,10.7
2016-06-21,2016-10-19,120,903.65,EURUSD,0.33,8.4
2016-10-27,2017-04-25,180,906.87,EURUSD,0.49,7.7
2017-07-27,2018-01-19,176,961.24,EURUSD,0.48,7.0
2019-02-18,2019-07-16,148,1102.56,EURUSD,0.41,5.1
2019-09-17,2020-10-15,394,1128.98,EURUSD,1.08,6.5
2020-11-03,2021-04-30,178,1144.64,EURUSD,0.49,5.9
2021-06-22,2022-01-10,202,1184.15,EURUSD,0.55,5.2
2022-09-13,2023-02-13,153,1267.81,EURUSD,0.42,11.0
2023-04-10,2023-11-01,205,1284.98,EURUSD,0.56,7.0
2024-03-12,2024-09-13,185,1312.8,EURUSD,0.51,5.1
2006-06-01,2006-09-19,110,124.47,XAUUSD,0.3,29.5
2007-02-20,2008-03-18,392,210.88,XAUUSD,1.07,17.0
2008-09-29,2009-03-10,162,329.21,XAUUSD,0.44,37.9
2009-06-23,2009-12-24,184,448.16,XAUUSD,0.5,15.1
2010-08-03,2011-05-09,279,624.6,XAUUSD,0.76,14.3
2012-08-13,2013-01-03,143,951.2,XAUUSD,0.39,12.1
2013-01-07,2013-04-12,95,954.71,XAUUSD,0.26,10.9
2013-12-04,2014-04-07,124,1090.52,XAUUSD,0.34,16.3
2015-03-24,2016-02-03,316,1237.13,XAUUSD,0.87,13.1
2016-02-07,2016-05-09,92,1239.65,XAUUSD,0.25,17.9
2016-08-08,2016-11-07,91,1292.5,XAUUSD,0.25,13.5
2017-03-05,2017-11-29,269,1367.19,XAUUSD,0.74,10.2
2018-02-25,2019-02-21,361,1370.51,XAUUSD,0.99,9.5
2019-03-11,2019-08-19,161,1389.83,XAUUSD,0.44,10.2
2020-02-12,2021-01-18,341,1435.37,XAUUSD,0.93,19.8
2021-03-21,2021-10-15,208,1493.64,XAUUSD,0.57,13.1
2021-11-16,2022-02-21,97,1528.34,XAUUSD,0.27,11.7
2022-07-26,2022-12-20,147,1694.81,XAUUSD,0.4,14.5
2023-02-12,2023-06-07,115,1785.22,XAUUSD,0.31,15.8
2023-10-12,2024-03-22,162,1890.15,XAUUSD,0.44,12.3
