market,mode,year,opening_balance,closing_balance,gain_usd,gain_pct,max_drawdown_pct_of_peak,lot_used,trades,win_pct
EURUSD,fixed_lot,2006,100.0,245.65,145.65,145.65,16.08,0.01,64,82.8
EURUSD,fixed_lot,2007,245.65,303.62,57.98,23.6,6.83,0.01,69,65.2
EURUSD,fixed_lot,2008,303.62,401.09,97.46,32.1,6.73,0.01,77,61.0
EURUSD,fixed_lot,2009,401.09,473.11,72.03,17.96,4.71,0.01,81,53.1
EURUSD,fixed_lot,2010,473.11,555.44,82.33,17.4,4.29,0.01,66,57.6
EURUSD,fixed_lot,2011,555.44,606.81,51.37,9.25,3.63,0.01,80,55.0
EURUSD,fixed_lot,2012,606.81,727.67,120.86,19.92,2.92,0.01,66,69.7
EURUSD,fixed_lot,2013,727.67,729.33,1.66,0.23,3.08,0.01,58,60.3
EURUSD,fixed_lot,2014,729.33,735.18,5.85,0.8,2.62,0.01,51,49.0
EURUSD,fixed_lot,2015,735.18,878.99,143.81,19.56,2.26,0.01,56,69.6
EURUSD,fixed_lot,2016,878.99,894.25,15.26,1.74,2.13,0.01,67,55.2
EURUSD,fixed_lot,2017,894.25,944.84,50.59,5.66,2.05,0.01,69,66.7
EURUSD,fixed_lot,2018,944.84,1062.14,117.31,12.42,1.98,0.01,74,73.0
EURUSD,fixed_lot,2019,1062.14,1111.19,49.05,4.62,1.92,0.01,53,83.0
EURUSD,fixed_lot,2020,1111.19,1130.02,18.82,1.69,1.65,0.01,81,59.3
EURUSD,fixed_lot,2021,1130.02,1174.39,44.37,3.93,1.65,0.01,74,60.8
EURUSD,fixed_lot,2022,1174.39,1250.56,76.17,6.49,1.61,0.01,77,64.9
EURUSD,fixed_lot,2023,1250.56,1300.23,49.67,3.97,1.54,0.01,64,59.4
EURUSD,fixed_lot,2024,1300.23,1333.04,32.81,2.52,1.44,0.01,54,70.4
EURUSD,compounding,2006,100.0,280.28,180.28,180.28,16.08,0.02,64,82.8
EURUSD,compounding,2007,280.28,274.75,-5.53,-1.97,17.73,0.03,75,45.3
EURUSD,compounding,2008,274.75,497.5,222.75,81.07,17.47,0.05,84,53.6
EURUSD,compounding,2009,497.5,1057.7,560.2,112.6,19.5,0.12,87,62.1
EURUSD,compounding,2010,1057.7,1328.78,271.08,25.63,20.09,0.15,68,54.4
EURUSD,compounding,2011,1328.78,5190.83,3862.05,290.65,19.3,0.58,98,63.3
EURUSD,compounding,2012,5190.83,5741.81,550.98,10.61,20.72,0.62,59,37.3
EURUSD,compounding,2013,5741.81,6609.18,867.37,15.11,18.18,0.74,60,55.0
EURUSD,compounding,2014,6609.18,7213.68,604.5,9.15,20.51,0.85,36,66.7
EURUSD,compounding,2015,7213.68,28126.69,20913.0,289.91,19.47,3.16,52,73.1
EURUSD,compounding,2016,28126.69,55849.42,27722.73,98.56,17.7,5.24,72,63.9
EURUSD,compounding,2017,55849.42,70022.24,14172.83,25.38,17.74,8.14,71,56.3
EURUSD,compounding,2018,70022.24,217434.37,147412.13,210.52,18.71,21.54,90,74.4
EURUSD,compounding,2019,217434.37,264797.48,47363.11,21.78,19.05,30.44,61,65.6
EURUSD,compounding,2020,264797.48,310814.85,46017.37,17.38,17.54,36.89,66,60.6
EURUSD,compounding,2021,310814.85,656927.41,346112.55,111.36,16.93,40.0,85,83.5
EURUSD,compounding,2022,656927.41,947178.61,290251.2,44.18,9.81,40.0,75,64.0
EURUSD,compounding,2023,947178.61,1145849.21,198670.6,20.97,7.59,40.0,64,59.4
EURUSD,compounding,2024,1145849.21,1277105.61,131256.4,11.45,6.44,40.0,54,70.4
XAUUSD,fixed_lot,2006,100.0,182.76,82.76,82.76,18.24,0.01,50,54.0
XAUUSD,fixed_lot,2007,182.76,195.88,13.12,7.18,10.01,0.01,47,48.9
XAUUSD,fixed_lot,2008,195.88,315.4,119.52,61.02,13.23,0.01,80,55.0
XAUUSD,fixed_lot,2009,315.4,465.7,150.3,47.65,5.85,0.01,80,60.0
XAUUSD,fixed_lot,2010,465.7,616.53,150.83,32.39,3.94,0.01,57,66.7
XAUUSD,fixed_lot,2011,616.53,823.54,207.01,33.58,3.48,0.01,68,57.4
XAUUSD,fixed_lot,2012,823.54,936.28,112.74,13.69,7.97,0.01,51,66.7
XAUUSD,fixed_lot,2013,936.28,1074.84,138.57,14.8,2.47,0.01,78,53.8
XAUUSD,fixed_lot,2014,1074.84,1218.74,143.9,13.39,2.09,0.01,76,65.8
XAUUSD,fixed_lot,2015,1218.74,1220.61,1.87,0.15,1.84,0.01,57,47.4
XAUUSD,fixed_lot,2016,1220.61,1302.27,81.65,6.69,1.81,0.01,74,56.8
XAUUSD,fixed_lot,2017,1302.27,1349.03,46.76,3.59,1.69,0.01,80,51.2
XAUUSD,fixed_lot,2018,1349.03,1356.26,7.23,0.54,1.68,0.01,82,46.3
XAUUSD,fixed_lot,2019,1356.26,1417.46,61.21,4.51,1.65,0.01,51,51.0
XAUUSD,fixed_lot,2020,1417.46,1421.84,4.37,0.31,2.74,0.01,66,47.0
XAUUSD,fixed_lot,2021,1421.84,1510.69,88.85,6.25,1.7,0.01,59,49.2
XAUUSD,fixed_lot,2022,1510.69,1721.01,210.32,13.92,1.42,0.01,87,59.8
XAUUSD,fixed_lot,2023,1721.01,1869.96,148.95,8.65,1.31,0.01,72,61.1
XAUUSD,fixed_lot,2024,1869.96,2238.21,368.24,19.69,1.26,0.01,87,65.5
XAUUSD,compounding,2006,100.0,182.76,82.76,82.76,18.24,0.01,50,54.0
XAUUSD,compounding,2007,182.76,201.28,18.53,10.14,17.76,0.02,50,68.0
XAUUSD,compounding,2008,201.28,600.05,398.76,198.11,34.02,0.06,76,60.5
XAUUSD,compounding,2009,600.05,2088.99,1488.95,248.14,19.9,0.2,70,70.0
XAUUSD,compounding,2010,2088.99,4074.32,1985.33,95.04,19.76,0.39,58,58.6
XAUUSD,compounding,2011,4074.32,24703.54,20629.22,506.32,21.41,2.85,71,63.4
XAUUSD,compounding,2012,24703.54,94787.34,70083.8,283.7,35.87,9.81,49,61.2
XAUUSD,compounding,2013,94787.34,405074.69,310287.35,327.35,24.1,30.0,61,55.7
XAUUSD,compounding,2014,405074.69,836771.52,431696.82,106.57,14.23,30.0,76,65.8
XAUUSD,compounding,2015,836771.52,842387.53,5616.02,0.67,7.62,30.0,57,47.4
XAUUSD,compounding,2016,842387.53,1087344.13,244956.6,29.08,7.24,30.0,74,56.8
XAUUSD,compounding,2017,1087344.13,1227624.5,140280.36,12.9,5.38,30.0,80,51.2
XAUUSD,compounding,2018,1227624.5,1249312.1,21687.6,1.77,5.3,30.0,82,46.3
XAUUSD,compounding,2019,1249312.1,1432937.17,183625.07,14.7,5.09,30.0,51,51.0
XAUUSD,compounding,2020,1432937.17,1446058.57,13121.4,0.92,7.87,30.0,66,47.0
XAUUSD,compounding,2021,1446058.57,1712603.1,266544.52,18.43,4.57,30.0,59,49.2
XAUUSD,compounding,2022,1712603.1,2343572.92,630969.82,36.84,3.31,30.0,87,59.8
XAUUSD,compounding,2023,2343572.92,2790427.72,446854.8,19.07,2.77,30.0,72,61.1
XAUUSD,compounding,2024,2790427.72,3895159.12,1104731.4,39.59,2.46,30.0,87,65.5
