atr_mult,rebound,vol_block,atr_fast,final,dd,months,med,yup,ruin
4.6,0.55,0.8,25,1517.6137798012696,17.440048530833113,66.96035242290749,6.40988917530303,19,False
4.6,0.55,0.8,30,1406.8659539930313,14.718299776926536,59.471365638766514,8.437303617002767,18,False
4.6,0.55,0.8,35,1332.8088434997217,15.510982777111318,63.436123348017624,9.959037908108703,18,False
4.6,0.55,0.9,25,1299.8196351255908,15.395449200940575,64.31718061674009,5.834086418337581,19,False
4.6,0.55,0.9,30,1314.0696681909658,17.016161140918605,60.792951541850215,8.46242226199676,19,False
4.6,0.55,0.9,35,1376.52036882263,15.59673753999841,56.82819383259912,5.3908383573016305,18,False
4.6,0.55,1.0,25,1312.7171135892513,15.738111444016829,59.03083700440529,6.081333116843157,19,False
4.6,0.55,1.0,30,995.2916687766724,20.207768009186974,55.50660792951542,5.51832244038144,16,False
4.6,0.55,1.0,35,1174.2525320998895,22.565063234006068,59.03083700440529,4.183102103878267,19,False
4.6,0.65,0.8,25,1574.4795731904542,15.605536335352191,65.19823788546255,7.544352430895573,18,False
4.6,0.65,0.8,30,1607.4919049159143,16.5404002732781,65.19823788546255,8.218850991073623,19,False
4.6,0.65,0.8,35,1297.738707699216,18.10010086164219,62.99559471365639,10.0449893349005,19,False
4.6,0.65,0.9,25,1486.803170458791,15.048700572040882,63.87665198237885,5.094849045396366,19,False
4.6,0.65,0.9,30,1689.0722734012961,15.843614579169687,63.436123348017624,7.7757148216206495,18,False
4.6,0.65,0.9,35,1302.781580280948,16.577597406580832,57.70925110132159,9.552301673798723,18,False
4.6,0.65,1.0,25,1292.0265880913685,13.699988557578843,62.11453744493392,5.490902048852098,18,False
4.6,0.65,1.0,30,1393.2327948874952,18.592918994444496,63.87665198237885,8.04475605017878,19,False
4.6,0.65,1.0,35,1121.9173138484093,17.012725464731947,59.03083700440529,6.458044493477577,18,False
4.6,0.75,0.8,25,1399.8157453090178,17.116360171787097,64.31718061674009,7.795181406624696,18,False
4.6,0.75,0.8,30,1469.4401562176058,14.369873077406206,62.99559471365639,5.122834501280593,19,False
4.6,0.75,0.8,35,1455.7204559990178,17.319044887787484,69.16299559471366,7.688353339761345,19,False
