atr_mult,rebound,vol_block,atr_fast,atr_slow,final,max_dd_pct,months_up_pct,median_year_pct,years_up,trades_per_year,ruined
5.0,0.65,0.8,20,400,1782.47,19.94,73.6,5.49,19,64.0,False
5.4,0.65,0.9,15,200,2025.69,18.84,70.5,6.34,19,64.0,False
5.4,0.65,0.8,15,200,1638.29,19.65,70.5,9.61,19,57.0,False
4.2,0.65,0.8,15,400,1884.18,19.51,70.0,5.77,19,71.0,False
5.4,0.45,0.8,20,400,1894.33,17.61,70.0,5.17,19,64.0,False
4.2,0.75,0.8,15,288,1781.09,18.25,70.0,6.92,19,74.0,False
3.8,0.75,0.8,10,288,1885.3,18.86,69.6,6.54,19,76.0,False
5.0,0.75,0.8,10,200,1865.83,19.41,69.2,7.32,19,55.0,False
5.4,0.45,0.8,20,150,1879.5,17.75,69.2,6.56,19,67.0,False
4.6,0.65,0.8,30,400,1847.8,18.53,69.2,10.31,19,72.0,False
3.8,0.65,0.8,30,150,1636.67,17.36,68.7,7.92,19,89.0,False
5.4,0.75,0.8,20,150,1713.93,17.5,68.7,5.2,19,58.0,False
5.4,0.75,0.8,15,200,1912.16,18.91,68.7,11.01,19,52.0,False
5.0,0.65,0.8,10,400,1537.97,19.81,68.3,7.77,19,59.0,False
3.8,0.75,0.8,30,200,1574.03,15.64,68.3,7.27,19,84.0,False
4.2,0.45,0.8,20,400,1838.56,19.15,68.3,8.3,19,86.0,False
3.8,0.75,0.8,15,288,1519.58,19.79,68.3,7.08,19,79.0,False
5.0,0.45,0.8,10,288,1702.42,19.39,68.3,7.48,19,66.0,False
4.6,0.75,0.9,10,288,1596.52,11.82,68.3,6.36,19,70.0,False
4.6,0.35,0.8,20,200,1840.28,17.75,67.8,6.54,19,94.0,False
3.8,0.55,0.9,10,200,1562.16,14.38,67.4,8.49,19,96.0,False
4.6,0.45,0.8,15,150,1708.49,14.43,67.4,7.56,19,78.0,False
3.8,0.75,0.8,10,150,1868.23,19.33,67.4,6.44,19,78.0,False
5.4,0.55,0.9,20,150,1644.32,18.71,67.4,10.45,19,77.0,False
4.2,0.65,0.9,30,200,1644.49,19.44,67.4,8.26,19,100.0,False
4.6,0.75,0.9,10,400,1606.62,11.82,67.0,7.65,19,69.0,False
4.6,0.75,0.9,10,200,1464.04,12.02,67.0,5.3,19,69.0,False
4.6,0.55,0.8,20,288,1728.3,18.63,67.0,8.06,19,78.0,False
5.4,0.45,0.8,15,400,1724.93,18.74,67.0,8.37,19,63.0,False
5.4,0.65,0.8,10,200,1745.58,19.45,67.0,7.37,19,55.0,False
4.2,0.75,0.8,15,400,1475.15,19.01,67.0,5.89,19,68.0,False
4.6,0.45,0.8,20,288,1771.93,18.01,67.0,6.0,19,89.0,False
4.2,0.65,0.8,15,200,1764.89,19.02,66.5,5.26,19,80.0,False
3.8,0.75,0.8,30,400,1491.18,12.88,66.5,7.4,19,82.0,False
5.4,0.45,0.9,20,200,1559.49,19.43,66.5,9.11,19,79.0,False
4.2,0.45,0.8,5,400,1525.11,17.82,66.5,4.06,19,74.0,False
5.4,0.55,0.8,10,200,1611.9,19.53,66.5,6.16,19,58.0,False
5.0,0.65,0.9,15,400,1531.02,16.55,66.5,7.55,19,72.0,False
5.4,0.75,0.9,30,200,1460.47,17.91,66.5,5.92,19,71.0,False
5.4,0.75,1.0,20,200,1828.6,18.85,66.5,8.56,19,76.0,False
3.8,0.75,0.8,20,400,1789.47,12.18,66.5,5.54,19,82.0,False
4.6,0.45,0.8,5,400,1510.29,14.48,66.5,9.07,19,65.0,False
4.2,0.75,0.8,10,200,1269.26,19.45,66.5,5.74,19,69.0,False
5.4,0.75,0.8,15,288,1472.99,18.85,66.1,8.3,19,52.0,False
5.4,0.75,0.8,15,400,1686.05,18.85,66.1,7.69,19,53.0,False
3.8,0.65,0.8,10,150,1846.73,19.19,66.1,4.87,19,82.0,False
5.4,0.45,0.8,10,288,1679.34,19.17,66.1,4.18,19,62.0,False
5.4,0.55,0.8,10,288,1644.2,19.81,66.1,6.63,19,56.0,False
3.8,0.65,0.8,20,150,1759.76,17.29,66.1,8.32,19,88.0,False
4.6,0.75,0.8,10,200,1564.5,13.79,66.1,8.08,19,58.0,False
5.0,0.65,0.8,30,150,1392.83,12.95,66.1,7.19,19,65.0,False
5.0,0.35,0.8,5,400,1469.13,19.41,66.1,7.85,19,69.0,False
4.6,0.65,0.9,20,288,1787.93,19.57,66.1,5.99,19,89.0,False
5.0,0.55,0.9,15,400,1370.47,17.91,66.1,9.14,19,75.0,False
5.0,0.75,0.8,15,400,1550.95,18.83,65.6,7.43,19,58.0,False
3.8,0.55,0.8,10,288,1723.58,15.02,65.6,9.45,19,88.0,False
4.2,0.45,0.8,20,150,1656.59,17.08,65.6,8.41,19,87.0,False
3.8,0.45,0.8,15,400,1378.37,14.4,65.6,4.88,19,92.0,False
5.4,0.75,0.8,20,400,1443.53,17.69,65.6,5.55,19,59.0,False
4.6,0.35,0.8,10,150,1614.21,17.62,65.6,6.19,19,83.0,False
4.6,0.45,0.9,30,400,1343.1,19.7,65.6,7.23,19,104.0,False
4.6,0.55,0.8,10,400,1688.89,17.23,65.6,7.37,19,69.0,False
5.0,0.35,0.8,10,400,1609.83,19.08,65.6,8.5,19,74.0,False
5.0,0.35,0.8,15,400,1570.4,18.63,65.6,8.52,19,73.0,False
3.8,0.45,0.8,10,150,1586.77,13.94,65.2,11.12,19,91.0,False
4.6,0.75,1.0,15,150,1583.88,17.0,65.2,9.57,19,84.0,False
5.4,0.45,0.9,15,150,1785.83,19.78,65.2,9.23,19,77.0,False
3.8,0.65,0.8,15,150,1819.32,19.67,65.2,5.55,19,86.0,False
3.8,0.55,0.9,10,400,1370.27,16.68,65.2,10.51,19,97.0,False
3.8,0.75,0.8,10,200,1540.64,19.31,65.2,8.09,19,73.0,False
3.8,0.75,0.8,20,288,1623.47,18.56,65.2,6.89,19,87.0,False
3.8,0.45,0.8,10,200,1506.07,11.52,65.2,7.47,19,89.0,False
5.4,0.75,0.8,15,150,1547.62,18.91,65.2,8.58,19,50.0,False
4.6,0.65,0.9,15,150,1445.56,18.73,65.2,10.34,19,79.0,False
4.6,0.75,0.8,15,288,1704.0,14.7,65.2,9.19,19,64.0,False
4.6,0.75,0.8,15,200,1614.53,18.88,65.2,7.23,19,60.0,False
5.0,0.45,0.8,30,200,1449.11,17.0,65.2,4.91,19,80.0,False
4.6,0.65,0.8,15,200,1817.06,16.02,65.2,6.32,19,72.0,False
4.6,0.45,0.8,20,150,1450.02,19.36,65.2,6.14,19,82.0,False
4.6,0.75,0.9,15,400,1525.42,13.78,65.2,9.18,19,71.0,False
5.4,0.75,1.0,20,288,1464.19,18.85,64.8,6.98,19,81.0,False
4.6,0.55,0.9,20,200,1568.99,19.15,64.8,3.77,19,89.0,False
4.6,0.45,0.8,10,150,1558.73,18.36,64.8,5.98,19,76.0,False
5.4,0.75,0.9,15,400,1311.58,19.08,64.8,6.18,19,61.0,False
4.6,0.65,1.0,10,400,1398.52,17.36,64.8,8.05,19,84.0,False
4.2,0.35,0.8,5,400,1495.39,19.11,64.8,8.41,19,79.0,False
5.4,0.35,0.9,20,288,1122.38,16.84,64.8,7.57,19,87.0,False
5.0,0.75,0.8,30,200,1417.03,12.56,64.8,8.62,19,66.0,False
3.8,0.75,0.9,30,400,1393.17,18.26,64.8,6.65,19,100.0,False
5.4,0.55,0.8,5,288,1634.48,19.84,64.8,5.06,19,52.0,False
3.8,0.75,0.8,30,150,1519.31,18.84,64.8,8.5,19,82.0,False
5.4,0.45,0.8,30,200,1215.58,19.15,64.8,10.22,19,75.0,False
3.8,0.55,0.8,10,200,1604.5,12.67,64.8,7.41,19,83.0,False
5.4,0.65,0.8,15,400,1510.01,18.78,64.8,6.42,19,53.0,False
5.4,0.75,1.0,20,150,1173.05,18.85,64.8,8.25,19,74.0,False
3.8,0.35,0.8,10,288,1227.24,14.46,64.8,7.27,19,98.0,False
3.8,0.65,0.9,30,288,1561.49,18.3,64.8,8.33,19,115.0,False
5.0,0.45,0.8,20,400,1623.99,8.92,64.8,5.78,19,76.0,False
5.0,0.45,0.8,15,288,1740.96,19.3,64.8,7.76,19,72.0,False
4.6,0.75,0.8,10,400,1683.73,12.24,64.8,6.66,19,62.0,False
4.6,0.65,0.8,5,200,1569.32,18.34,64.8,8.49,19,60.0,False
5.0,0.75,0.9,15,400,1260.13,17.04,64.3,7.54,19,67.0,False
5.4,0.35,0.8,20,150,1257.06,17.34,64.3,7.59,19,73.0,False
3.8,0.75,0.8,15,400,1635.89,19.79,64.3,6.31,19,76.0,False
3.8,0.75,0.8,20,200,1393.58,14.74,64.3,7.22,19,87.0,False
4.6,0.75,0.8,5,150,1374.93,18.4,64.3,4.61,19,59.0,False
4.2,0.55,0.9,5,288,1203.02,19.31,64.3,5.12,19,76.0,False
5.0,0.65,0.8,30,200,1744.64,12.53,64.3,6.29,19,69.0,False
4.6,0.55,1.0,20,150,1561.75,19.73,64.3,7.01,19,102.0,False
4.6,0.55,0.9,15,150,1452.84,19.32,64.3,5.63,19,83.0,False
4.2,0.75,0.9,30,150,1331.26,18.43,64.3,9.02,19,88.0,False
4.6,0.65,0.8,30,200,1677.76,18.78,64.3,8.3,19,75.0,False
5.4,0.75,0.9,15,288,1347.06,19.74,64.3,9.69,19,61.0,False
4.6,0.45,0.8,15,400,1311.6,14.5,63.9,8.45,19,76.0,False
4.2,0.75,0.8,10,288,1485.74,19.45,63.9,6.89,19,66.0,False
4.6,0.55,0.8,5,150,1859.79,13.15,63.9,5.77,19,69.0,False
5.0,0.45,0.8,20,150,1388.56,17.52,63.9,7.58,19,76.0,False
4.6,0.65,1.0,15,200,1476.29,18.72,63.9,6.9,19,87.0,False
4.6,0.65,0.9,30,200,1683.87,17.95,63.9,3.95,19,91.0,False
3.8,0.35,0.8,30,200,1377.36,12.76,63.9,4.98,19,112.0,False
3.8,0.75,0.8,15,150,1498.39,19.85,63.9,5.95,19,79.0,False
5.0,0.65,1.1,15,200,1165.64,19.04,63.9,9.72,19,88.0,False
5.4,0.35,0.8,15,400,1615.99,18.77,63.9,8.72,19,74.0,False
4.2,0.55,0.8,10,400,1561.18,18.69,63.9,9.34,19,75.0,False
4.2,0.55,0.9,5,200,1203.11,18.36,63.9,4.09,19,76.0,False
5.0,0.65,0.8,10,288,1621.11,19.62,63.9,5.59,19,57.0,False
4.2,0.45,0.8,30,400,1636.23,11.56,63.9,4.51,19,94.0,False
5.4,0.55,0.9,15,200,1418.13,19.5,63.9,9.11,19,74.0,False
5.4,0.45,0.8,5,150,1522.15,18.66,63.9,6.89,19,61.0,False
5.4,0.45,0.8,30,400,1574.09,17.93,63.9,9.09,19,74.0,False
5.4,0.45,0.8,30,288,1137.87,17.93,63.9,5.74,19,76.0,False
3.8,0.55,0.8,5,288,1628.39,19.33,63.9,6.4,19,78.0,False
3.8,0.65,0.9,15,150,1322.16,18.45,63.9,10.89,19,102.0,False
5.4,0.55,0.8,15,400,1512.74,19.71,63.9,8.82,19,58.0,False
5.0,0.55,0.9,10,400,1351.02,19.82,63.4,6.89,19,74.0,False
4.2,0.55,0.9,20,400,1118.95,18.4,63.4,6.12,19,96.0,False
5.0,0.35,0.9,15,400,1602.68,18.14,63.4,9.34,19,89.0,False
5.0,0.45,0.8,30,400,1415.18,13.69,63.4,9.29,19,74.0,False
5.0,0.55,0.8,15,200,1388.05,18.64,63.4,7.18,19,64.0,False
4.2,0.65,0.8,30,150,1607.62,13.59,63.4,5.52,19,80.0,False
4.6,0.45,0.9,15,400,1330.06,19.89,63.4,8.43,19,86.0,False
5.0,0.55,0.8,30,200,1288.85,14.99,63.4,5.66,19,75.0,False
5.4,0.45,0.8,20,288,1656.64,18.14,63.4,7.18,19,69.0,False
4.2,0.45,0.9,20,288,1452.06,15.92,63.4,6.83,19,107.0,False
5.4,0.45,0.9,10,288,1465.95,19.47,63.4,9.37,19,71.0,False
3.8,0.65,0.8,15,400,1271.28,19.66,63.4,6.3,19,82.0,False
5.4,0.65,0.9,10,400,1194.88,19.94,63.4,7.41,19,59.0,False
3.8,0.75,0.9,15,288,1336.81,16.91,63.4,6.6,19,95.0,False
5.4,0.65,1.0,15,200,1390.2,19.01,63.4,8.17,19,74.0,False
5.4,0.35,0.8,15,150,1275.84,18.6,63.4,5.51,19,74.0,False
5.4,0.35,0.8,20,288,1441.55,17.39,63.4,6.73,19,76.0,False
4.2,0.45,0.8,10,200,1458.67,18.72,63.4,7.4,19,80.0,False
4.2,0.45,0.8,10,150,1551.56,18.67,63.4,4.35,19,83.0,False
5.0,0.75,0.9,10,200,1464.02,19.41,63.0,4.96,19,65.0,False
5.0,0.65,1.0,30,200,1345.55,15.56,63.0,6.57,19,92.0,False
5.0,0.65,0.9,15,150,1425.34,16.47,63.0,6.54,19,72.0,False
5.0,0.65,0.8,10,150,1383.44,19.5,63.0,8.26,19,61.0,False
5.0,0.65,1.1,15,400,1096.17,19.04,63.0,5.37,19,95.0,False
4.6,0.55,0.8,10,150,1548.7,16.82,63.0,6.36,19,71.0,False
4.2,0.75,0.9,5,400,1093.54,18.05,63.0,9.23,19,71.0,False
4.6,0.65,1.1,10,400,1436.91,18.48,63.0,5.49,19,95.0,False
4.6,0.65,0.9,10,400,1531.09,18.3,63.0,9.57,19,77.0,False
4.2,0.55,0.9,5,400,1229.97,18.46,63.0,6.05,19,78.0,False
4.6,0.75,0.8,30,288,1428.5,13.17,63.0,4.9,19,70.0,False
4.6,0.75,1.1,20,200,1370.05,19.68,63.0,5.26,19,97.0,False
4.6,0.75,0.8,10,288,1386.86,12.17,63.0,3.79,19,61.0,False
4.2,0.75,0.9,15,150,1757.29,18.66,63.0,5.38,19,84.0,False
5.0,0.55,0.9,10,288,1480.85,19.48,63.0,7.03,19,73.0,False
5.4,0.45,0.9,15,400,1474.84,19.1,63.0,5.87,19,78.0,False
3.8,0.35,0.8,5,400,1145.86,17.96,63.0,9.36,19,93.0,False
5.4,0.65,0.8,20,200,1631.58,17.73,63.0,6.91,19,61.0,False
4.6,0.45,0.9,5,200,1087.07,14.15,62.6,4.74,19,80.0,False
4.6,0.55,0.8,15,200,1767.71,17.92,62.6,9.75,19,77.0,False
4.6,0.45,0.8,15,200,1469.96,13.38,62.6,6.01,19,81.0,False
3.8,0.45,1.0,15,200,1155.49,19.01,62.6,8.87,19,125.0,False
4.6,0.65,1.0,20,150,1378.6,18.82,62.6,5.68,19,95.0,False
4.6,0.45,0.9,20,400,1213.0,16.65,62.6,5.52,19,95.0,False
4.6,0.55,1.0,20,200,1237.53,18.44,62.6,7.01,19,100.0,False
4.6,0.75,1.0,15,400,1355.99,14.13,62.6,7.22,19,85.0,False
5.0,0.55,0.8,30,400,1426.87,15.82,62.6,6.71,19,69.0,False
5.0,0.45,0.8,15,200,1439.59,18.1,62.6,5.29,19,72.0,False
5.0,0.35,0.8,5,288,1860.42,19.7,62.6,8.71,19,71.0,False
5.4,0.55,1.0,15,150,1738.15,19.35,62.6,8.87,19,83.0,False
5.0,0.65,0.9,15,288,1226.0,16.57,62.6,6.72,19,72.0,False
5.0,0.75,0.8,10,288,1666.08,19.41,62.6,6.63,19,51.0,False
5.0,0.65,0.8,15,150,1656.55,17.38,62.6,7.21,19,58.0,False
5.0,0.65,0.8,5,400,1798.6,15.65,62.6,4.16,19,56.0,False
4.6,0.45,0.8,10,200,1538.99,18.78,62.6,7.58,19,73.0,False
4.6,0.35,0.9,5,288,1488.36,19.63,62.6,6.38,19,84.0,False
5.4,0.75,0.8,30,150,1677.33,13.93,62.6,5.33,19,58.0,False
3.8,0.45,0.9,10,150,1124.95,15.09,62.6,10.1,19,106.0,False
5.4,0.65,0.8,15,150,1499.1,19.57,62.6,7.26,19,56.0,False
4.2,0.35,0.8,10,288,1349.01,19.06,62.6,5.44,19,86.0,False
5.4,0.45,0.8,15,288,1386.32,19.32,62.6,7.83,19,67.0,False
5.0,0.75,0.8,15,288,1519.65,18.48,62.6,9.77,19,56.0,False
4.2,0.45,0.8,10,400,1251.58,18.42,62.6,6.16,19,79.0,False
3.8,0.35,0.8,20,400,1215.3,19.1,62.6,8.69,19,102.0,False
5.4,0.75,0.9,30,400,1661.72,18.43,62.1,3.53,19,69.0,False
5.4,0.35,0.8,10,288,1493.89,19.87,62.1,4.9,19,70.0,False
5.0,0.75,1.0,15,288,1368.61,19.89,62.1,7.41,19,78.0,False
5.0,0.65,1.0,10,150,1333.68,19.5,62.1,7.98,19,83.0,False
5.0,0.65,0.9,30,288,1483.08,16.19,62.1,6.54,19,84.0,False
5.4,0.55,0.8,5,200,1376.72,19.84,62.1,7.0,19,50.0,False
5.4,0.45,1.0,15,150,1346.8,18.85,62.1,5.99,19,89.0,False
3.8,0.75,0.9,10,400,1418.91,19.84,62.1,7.4,19,83.0,False
5.4,0.45,0.9,10,150,1402.79,19.99,62.1,8.04,19,77.0,False
5.4,0.45,0.8,10,150,1446.3,19.42,62.1,7.54,19,63.0,False
5.0,0.55,0.9,30,400,1660.33,11.44,62.1,5.53,19,85.0,False
5.0,0.65,0.8,15,200,1310.32,17.16,62.1,6.67,19,60.0,False
4.2,0.45,0.9,10,288,1231.99,17.62,62.1,10.04,19,97.0,False
4.2,0.55,0.8,5,288,1306.84,19.17,62.1,5.65,19,66.0,False
4.2,0.55,0.8,5,400,1339.2,18.35,62.1,5.09,19,68.0,False
5.0,0.55,0.9,30,200,1556.97,14.76,62.1,5.23,19,87.0,False
5.0,0.75,1.0,30,150,1314.48,15.81,62.1,6.64,19,88.0,False
4.6,0.35,0.8,20,288,1446.99,17.54,62.1,6.77,19,89.0,False
5.0,0.35,0.9,5,150,1335.74,19.81,62.1,11.76,19,76.0,False
5.0,0.35,0.8,15,150,1609.1,15.43,62.1,6.58,19,77.0,False
5.0,0.45,0.8,10,200,1288.13,19.09,62.1,6.0,19,71.0,False
5.0,0.45,0.8,30,150,1497.42,16.99,62.1,9.17,19,74.0,False
4.6,0.65,0.8,15,288,1441.51,16.5,62.1,5.72,19,68.0,False
4.2,0.65,0.9,20,150,1283.51,17.17,62.1,5.94,19,89.0,False
4.6,0.75,1.0,20,288,1494.39,19.5,62.1,10.72,19,94.0,False
5.0,0.55,0.8,10,200,1264.51,19.12,62.1,7.52,19,64.0,False
4.6,0.35,0.9,10,400,1279.35,19.27,62.1,6.46,19,101.0,False
4.2,0.75,1.0,10,288,1497.72,19.27,62.1,5.79,19,90.0,False
3.8,0.65,1.0,15,150,1267.3,18.09,62.1,6.49,19,115.0,False
4.6,0.75,1.0,10,200,1355.53,17.38,61.7,7.87,19,75.0,False
4.2,0.65,0.9,10,200,1063.8,19.37,61.7,6.2,19,84.0,False
4.6,0.75,1.0,20,400,1272.34,19.65,61.7,6.96,19,89.0,False
4.2,0.55,1.0,10,400,1504.87,17.92,61.7,5.94,19,101.0,False
4.6,0.65,0.9,10,288,1300.61,17.96,61.7,6.4,19,72.0,False
3.8,0.45,0.8,5,200,1617.42,18.45,61.7,6.55,19,80.0,False
3.8,0.75,0.9,15,150,1583.23,17.25,61.7,7.52,19,95.0,False
5.0,0.75,0.8,5,200,1393.81,16.43,61.7,6.34,19,53.0,False
5.0,0.65,1.0,15,200,1041.88,16.14,61.7,5.12,19,82.0,False
3.8,0.75,1.0,20,200,1175.84,17.9,61.7,8.43,19,107.0,False
4.6,0.35,0.8,15,288,1696.15,19.18,61.7,7.08,19,84.0,False
5.4,0.65,0.9,30,200,1361.22,19.34,61.7,6.83,19,75.0,False
5.4,0.75,0.8,30,288,1331.56,15.52,61.2,6.41,19,61.0,False
4.6,0.75,1.0,15,288,1437.04,17.15,61.2,7.35,19,86.0,False
4.6,0.75,0.9,30,400,1087.87,19.2,61.2,4.59,19,79.0,False
3.8,0.45,0.8,15,150,1201.12,14.12,61.2,6.73,19,98.0,False
5.4,0.75,0.9,20,288,1259.06,18.8,61.2,8.55,19,66.0,False
4.6,0.55,0.8,15,400,1582.62,12.8,61.2,7.06,19,71.0,False
4.2,0.75,0.8,30,400,1596.18,17.28,61.2,4.45,19,77.0,False
5.0,0.75,0.9,15,200,1294.9,17.04,61.2,5.67,19,64.0,False
5.0,0.75,1.1,30,200,1198.52,18.4,61.2,9.54,19,95.0,False
5.0,0.65,0.8,15,288,1449.75,16.4,61.2,8.32,19,61.0,False
4.2,0.55,0.8,5,200,1486.24,19.56,61.2,8.48,19,70.0,False
5.4,0.35,0.9,20,150,1178.92,17.35,61.2,9.5,19,86.0,False
3.8,0.75,0.9,15,400,1561.6,18.63,61.2,4.06,19,95.0,False
4.2,0.55,0.8,30,150,1695.84,9.68,61.2,7.58,19,84.0,False
5.0,0.45,0.8,5,400,1605.56,19.93,61.2,7.36,19,60.0,False
5.0,0.45,0.9,30,150,1614.95,17.01,61.2,5.13,19,91.0,False
3.8,0.75,0.9,15,200,1264.7,17.99,60.8,5.36,19,97.0,False
5.4,0.45,0.9,5,400,1370.01,19.87,60.8,7.67,19,69.0,False
5.4,0.45,1.0,20,150,1348.04,17.76,60.8,8.09,19,91.0,False
5.4,0.45,1.0,15,200,1438.2,19.31,60.8,8.54,19,88.0,False
4.2,0.35,0.8,15,400,1697.5,19.31,60.8,6.28,19,93.0,False
4.2,0.55,0.8,10,288,1618.41,18.65,60.8,5.41,19,80.0,False
4.2,0.45,0.9,10,200,1445.3,17.41,60.8,6.75,19,91.0,False
5.4,0.35,0.9,20,200,1106.96,18.26,60.8,7.13,19,89.0,False
3.8,0.75,0.9,20,400,1119.11,16.8,60.8,6.88,19,98.0,False
4.2,0.55,0.9,20,150,1127.22,18.09,60.8,4.94,19,97.0,False
4.2,0.65,0.8,5,288,1238.37,19.78,60.8,5.51,19,64.0,False
5.0,0.55,0.8,5,150,1524.85,14.98,60.8,4.95,19,57.0,False
4.6,0.65,0.9,20,400,1522.22,18.55,60.8,7.25,19,84.0,False
4.6,0.45,0.9,15,200,1260.28,13.35,60.8,5.78,19,91.0,False
4.6,0.55,0.9,20,288,1603.61,19.98,60.8,5.87,19,94.0,False
5.0,0.55,1.0,5,150,1472.16,14.76,60.4,9.05,19,74.0,False
5.0,0.75,0.9,30,150,1633.75,16.56,60.4,5.98,19,73.0,False
5.4,0.45,0.9,10,400,1119.46,19.61,60.4,8.42,19,72.0,False
3.8,0.35,0.9,10,150,1262.33,14.67,60.4,7.46,19,113.0,False
5.0,0.65,0.8,30,288,1445.92,12.43,60.4,5.97,19,69.0,False
5.0,0.45,0.8,20,200,1540.46,15.31,60.4,5.06,19,77.0,False
4.6,0.45,0.9,10,150,1331.54,16.93,60.4,5.55,19,85.0,False
4.6,0.65,0.8,10,150,1227.82,17.21,60.4,7.24,19,63.0,False
5.0,0.45,0.9,10,288,1295.15,19.15,59.9,5.13,19,84.0,False
4.2,0.75,1.1,20,200,1135.24,16.44,59.9,5.12,19,105.0,False
4.6,0.55,0.9,15,288,1226.88,19.55,59.9,5.66,19,87.0,False
5.0,0.45,0.8,10,400,1440.51,19.09,59.9,6.78,19,67.0,False
3.8,0.45,0.9,10,400,1236.95,14.64,59.9,8.03,19,110.0,False
5.4,0.75,0.9,20,150,1344.63,18.85,59.9,5.42,19,67.0,False
5.4,0.65,1.0,20,288,1115.91,19.97,59.9,6.2,19,79.0,False
4.6,0.45,0.9,5,400,1209.38,14.98,59.9,6.3,19,80.0,False
4.6,0.35,0.8,20,400,1320.09,19.09,59.9,7.86,19,86.0,False
3.8,0.55,0.8,5,150,1303.56,18.64,59.9,5.7,19,78.0,False
5.0,0.65,0.9,10,400,1265.49,19.26,59.9,7.79,19,69.0,False
5.4,0.55,0.9,5,288,1300.59,18.39,59.9,7.39,19,56.0,False
4.2,0.45,0.9,20,400,1227.19,19.82,59.9,3.86,19,103.0,False
5.0,0.55,0.9,10,200,1359.79,19.7,59.9,5.91,19,72.0,False
5.0,0.65,0.9,5,288,1218.24,15.41,59.9,4.75,19,64.0,False
5.4,0.75,1.0,30,200,1173.98,16.96,59.5,6.2,19,78.0,False
4.6,0.65,0.9,5,200,1367.1,18.96,59.5,5.6,19,67.0,False
5.4,0.35,0.9,5,288,1238.8,19.15,59.5,7.32,19,69.0,False
4.2,0.75,1.1,20,150,1160.71,19.24,59.5,6.69,19,111.0,False
5.4,0.65,1.1,15,400,1244.11,19.41,59.5,8.14,19,80.0,False
3.8,0.45,0.9,10,200,1211.17,15.84,59.5,6.32,19,105.0,False
4.6,0.75,0.8,15,400,1404.07,15.51,59.5,6.21,19,59.0,False
4.2,0.55,1.0,5,150,1127.31,18.56,59.5,10.41,19,92.0,False
3.8,0.45,0.8,30,150,1135.58,11.13,59.5,2.95,19,98.0,False
4.6,0.45,0.9,20,150,1534.78,13.48,59.5,6.82,19,99.0,False
4.2,0.65,1.1,5,288,1120.57,18.64,59.5,6.78,19,90.0,False
4.2,0.45,0.9,30,400,1190.59,17.04,59.5,5.25,19,113.0,False
5.0,0.75,1.0,15,400,1492.95,19.18,59.5,9.86,19,77.0,False
5.4,0.35,0.8,30,200,1369.07,9.82,59.5,6.91,19,80.0,False
4.2,0.45,0.9,5,150,1139.17,18.23,59.5,5.91,19,88.0,False
3.8,0.75,1.0,15,200,1153.75,18.76,59.5,5.33,19,104.0,False
3.8,0.75,1.2,10,200,769.69,19.25,59.5,7.21,19,113.0,False
5.4,0.65,1.0,15,288,1144.26,19.09,59.0,13.87,19,75.0,False
4.6,0.45,0.9,10,288,1499.64,18.13,59.0,6.14,19,87.0,False
5.4,0.35,0.9,20,400,1211.31,18.63,59.0,6.81,19,85.0,False
5.4,0.75,1.0,30,400,1127.07,16.89,59.0,4.26,19,81.0,False
4.6,0.65,0.9,30,288,1173.08,18.85,59.0,8.48,19,92.0,False
3.8,0.45,0.8,15,288,1269.59,13.95,59.0,5.21,19,97.0,False
4.6,0.35,0.9,20,200,1422.19,19.16,59.0,5.04,19,102.0,False
4.6,0.65,1.1,15,150,1203.13,17.03,59.0,7.12,19,104.0,False
4.6,0.35,0.8,10,288,1398.24,18.28,59.0,6.28,19,81.0,False
4.6,0.75,1.2,15,200,1056.86,16.73,59.0,7.17,19,102.0,False
4.2,0.55,0.9,10,400,1281.83,18.96,58.6,5.52,19,86.0,False
5.0,0.55,0.8,30,288,1170.53,15.08,58.6,6.48,19,76.0,False
5.0,0.65,1.0,10,200,1242.75,19.8,58.6,6.11,19,75.0,False
4.6,0.75,0.9,10,150,1176.51,17.36,58.6,7.79,19,72.0,False
4.6,0.75,0.8,5,200,1600.19,18.4,58.6,6.12,19,56.0,False
5.4,0.65,1.1,15,200,1086.18,19.09,58.1,7.16,19,80.0,False
4.2,0.65,0.9,5,150,1181.21,18.58,58.1,8.69,19,78.0,False
5.0,0.45,0.9,10,400,1006.04,19.23,58.1,3.2,19,81.0,False
5.0,0.65,1.1,10,288,885.57,19.77,58.1,5.88,19,89.0,False
4.2,0.45,1.0,10,200,1220.73,17.88,58.1,5.11,19,100.0,False
4.6,0.75,1.0,10,400,1000.67,16.55,58.1,7.47,19,81.0,False
5.4,0.55,0.8,5,150,1408.88,18.39,58.1,6.67,19,52.0,False
5.0,0.75,1.2,15,200,988.39,16.58,58.1,4.7,19,87.0,False
