atr_mult,equity_stop,max_open,vol_block,rebound,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
2.5,10.0,10,0.8,0.45,10,15,261.6744183747495,29.395520084745673,48.458149779735685,10,723.3157894736842,8,False
2.5,10.0,10,0.8,0.65,10,15,1168.544484161045,24.231296686778943,66.51982378854625,17,580.1578947368421,8,False
2.5,10.0,10,1.0,0.45,10,15,-660.1603006950991,748.9863135716997,20.704845814977972,14,1029.6842105263158,7,True
2.5,10.0,10,1.0,0.65,10,15,77.96861639962322,113.56638788846716,39.20704845814978,7,851.578947368421,8,True
2.5,10.0,20,0.8,0.45,10,15,-41.52877231167929,111.16461498145999,35.68281938325991,6,894.3684210526316,11,True
2.5,10.0,20,0.8,0.65,10,15,626.6610511107355,25.150591944536338,52.863436123348016,11,754.2105263157895,14,False
2.5,10.0,20,1.0,0.45,10,15,-836.4773628850197,918.0521631329551,16.299559471365637,16,1153.421052631579,8,True
2.5,10.0,20,1.0,0.65,10,15,-102.90689689336475,128.38087735192912,29.955947136563875,8,975.2105263157895,10,True
2.5,20.0,10,0.8,0.45,10,15,319.47035369221294,26.898766666666603,46.25550660792951,8,716.421052631579,8,False
2.5,20.0,10,0.8,0.65,10,15,1315.9248742077625,30.27988284041085,61.67400881057269,15,558.6842105263158,8,False
2.5,20.0,10,1.0,0.45,10,15,-668.0714006951022,756.7632612246888,20.704845814977972,14,1029.578947368421,7,True
2.5,20.0,10,1.0,0.65,10,15,8.686152808353526,127.24211633033245,37.00440528634361,7,851.3684210526316,8,True
2.5,20.0,20,0.8,0.45,10,15,-35.067887787866056,109.30137387433285,35.68281938325991,6,894.0,11,True
2.5,20.0,20,0.8,0.65,10,15,666.9940798112123,46.04657984146473,50.66079295154186,11,753.6315789473684,14,False
2.5,20.0,20,1.0,0.45,10,15,-845.3265295516859,926.7023749283277,16.299559471365637,16,1153.4736842105262,8,True
2.5,20.0,20,1.0,0.65,10,15,-153.2129992743202,148.83921663421185,29.074889867841406,10,973.7894736842105,10,True
2.5,35.0,10,0.8,0.45,10,15,556.7311068640297,22.872085715937132,45.37444933920705,9,708.421052631579,8,False
2.5,35.0,10,0.8,0.65,10,15,1760.0236946782734,24.981232607570085,58.590308370044056,15,538.5263157894736,8,False
2.5,35.0,10,1.0,0.45,10,15,-686.4318006950974,774.8123150462618,20.704845814977972,15,1029.578947368421,7,True
2.5,35.0,10,1.0,0.65,10,15,-33.75749272735635,126.46994304429565,36.56387665198238,7,847.8421052631579,8,True
2.5,35.0,20,0.8,0.45,10,15,108.68034554545551,79.61247196035731,33.92070484581498,6,896.1578947368421,11,False
