atr_mult,rebound,vol_block,atr_fast,atr_slow,final,max_dd_pct,months_up_pct,median_year_pct,years_up,trades_per_year,ruined
3.5,0.35,1.0,10,100,659.72,21.76,50.7,6.62,17,145.0,False
3.5,0.35,1.0,10,200,613.82,28.87,52.0,7.95,17,129.0,False
3.5,0.35,1.0,10,288,675.98,25.88,57.3,3.09,19,135.0,False
3.5,0.35,1.0,20,100,576.81,38.97,50.7,2.06,15,157.0,False
3.5,0.35,1.0,20,200,490.85,57.89,48.9,2.69,13,145.0,False
3.5,0.35,1.0,20,288,489.54,30.97,53.3,3.63,14,151.0,False
3.5,0.35,1.0,50,100,318.45,33.33,47.1,3.23,14,166.0,False
3.5,0.35,1.0,50,200,259.65,44.15,47.6,-0.26,9,155.0,False
3.5,0.35,1.0,50,288,51.69,65.11,44.1,-4.44,6,158.0,False
3.5,0.35,1.15,10,100,514.69,38.27,47.1,3.6,13,161.0,False
3.5,0.35,1.15,10,200,320.66,50.48,50.2,2.33,15,151.0,False
3.5,0.35,1.15,10,288,339.5,38.06,49.3,1.62,14,154.0,False
3.5,0.35,1.15,20,100,154.11,75.96,48.0,2.45,12,173.0,False
3.5,0.35,1.15,20,200,332.38,41.31,43.6,4.75,13,159.0,False
3.5,0.35,1.15,20,288,186.64,107.98,50.7,7.19,12,167.0,True
3.5,0.35,1.15,50,100,-104.4,205.75,38.8,-0.9,8,196.0,True
3.5,0.35,1.15,50,200,68.59,81.87,39.2,-6.28,6,170.0,False
3.5,0.35,1.15,50,288,-57.19,177.9,35.7,5.54,12,176.0,True
3.5,0.35,1.35,10,100,60.34,95.01,46.7,1.37,10,170.0,False
3.5,0.35,1.35,10,200,245.06,96.49,47.1,-0.96,8,162.0,False
3.5,0.35,1.35,10,288,86.14,105.82,48.9,0.19,11,165.0,True
3.5,0.35,1.35,20,100,-53.13,154.42,35.7,15.94,11,182.0,True
3.5,0.35,1.35,20,200,140.98,90.78,47.6,-0.04,9,176.0,False
3.5,0.35,1.35,20,288,76.77,69.98,43.2,-2.43,6,179.0,False
3.5,0.35,1.35,50,100,-133.8,160.0,31.3,11.24,10,206.0,True
3.5,0.35,1.35,50,200,-183.52,282.87,32.2,4.04,12,189.0,True
3.5,0.35,1.35,50,288,-164.78,180.81,26.9,5.82,11,195.0,True
3.5,0.45,1.0,10,100,774.71,28.03,58.1,9.1,15,140.0,False
3.5,0.45,1.0,10,200,759.6,27.57,57.3,6.71,17,124.0,False
3.5,0.45,1.0,10,288,891.11,23.44,56.4,6.01,19,135.0,False
3.5,0.45,1.0,20,100,972.75,28.67,58.1,3.53,14,157.0,False
3.5,0.45,1.0,20,200,513.71,26.42,55.9,3.99,14,138.0,False
3.5,0.45,1.0,20,288,631.25,27.64,55.9,4.96,17,140.0,False
3.5,0.45,1.0,50,100,481.39,21.31,52.9,3.87,14,163.0,False
3.5,0.45,1.0,50,200,327.48,38.52,45.4,0.49,11,147.0,False
3.5,0.45,1.0,50,288,430.24,24.75,46.3,2.18,13,158.0,False
3.5,0.45,1.15,10,100,641.03,32.46,54.2,1.99,16,156.0,False
3.5,0.45,1.15,10,200,557.87,31.32,51.5,2.14,16,144.0,False
3.5,0.45,1.15,10,288,509.39,25.78,48.9,6.06,15,150.0,False
3.5,0.45,1.15,20,100,140.93,69.52,47.6,0.73,12,164.0,False
3.5,0.45,1.15,20,200,432.86,53.08,46.7,2.58,13,150.0,False
3.5,0.45,1.15,20,288,393.61,67.22,47.1,0.44,11,162.0,False
3.5,0.45,1.15,50,100,-30.15,161.31,43.2,3.11,10,190.0,True
3.5,0.45,1.15,50,200,188.13,40.6,41.9,-0.77,8,163.0,False
3.5,0.45,1.15,50,288,-31.56,135.09,34.8,-24.12,6,167.0,True
3.5,0.45,1.35,10,100,93.68,73.67,44.9,-3.05,8,161.0,False
3.5,0.45,1.35,10,200,277.52,110.3,52.9,-0.15,9,154.0,True
3.5,0.45,1.35,10,288,140.7,100.4,48.0,1.49,11,161.0,True
3.5,0.45,1.35,20,100,7.0,111.43,40.1,-15.65,5,176.0,True
3.5,0.45,1.35,20,200,121.58,78.22,44.9,1.29,11,168.0,False
3.5,0.45,1.35,20,288,103.4,123.93,47.6,0.73,11,174.0,True
3.5,0.45,1.35,50,100,-73.97,135.89,33.5,-16.95,8,203.0,True
3.5,0.45,1.35,50,200,-74.57,147.56,33.0,0.91,10,183.0,True
3.5,0.45,1.35,50,288,-94.41,146.87,31.7,5.04,10,190.0,True
3.5,0.55,1.0,10,100,823.81,23.0,55.1,8.74,17,133.0,False
3.5,0.55,1.0,10,200,721.25,24.59,58.1,5.99,15,118.0,False
3.5,0.55,1.0,10,288,748.31,29.3,55.5,5.94,15,123.0,False
3.5,0.55,1.0,20,100,503.45,42.18,50.7,6.43,17,149.0,False
3.5,0.55,1.0,20,200,877.96,36.49,61.7,6.49,18,131.0,False
3.5,0.55,1.0,20,288,649.29,23.94,52.0,0.45,13,140.0,False
3.5,0.55,1.0,50,100,753.82,16.88,50.2,4.09,17,161.0,False
3.5,0.55,1.0,50,200,282.09,32.86,48.5,0.86,13,140.0,False
3.5,0.55,1.0,50,288,274.58,23.9,48.5,-0.11,9,147.0,False
3.5,0.55,1.15,10,100,463.31,36.49,52.0,2.85,14,150.0,False
3.5,0.55,1.15,10,200,647.82,27.58,50.7,7.61,14,134.0,False
