start,end,days,balance,market,years,market_vol_pct
2006-01-12,2006-05-30,138,102.94,EURUSD,0.38,8.0
2006-06-04,2008-09-23,842,121.9,EURUSD,2.31,7.2
2009-03-26,2010-12-16,630,215.97,EURUSD,1.72,11.2
2010-12-19,2011-09-12,267,231.72,EURUSD,0.73,11.1
2011-12-11,2013-10-29,688,251.78,EURUSD,1.88,8.2
2014-01-01,2014-06-02,152,345.95,EURUSD,0.42,5.3
2014-06-08,2015-04-14,310,359.09,EURUSD,0.85,7.5
2015-06-02,2022-10-27,2704,439.51,EURUSD,7.4,7.3
2023-01-09,2024-03-22,438,726.39,EURUSD,1.2,7.2
2024-07-24,2024-11-15,114,1651.55,EURUSD,0.31,5.5
2006-02-23,2006-06-15,112,173.18,XAUUSD,0.31,24.5
2006-06-20,2008-03-04,623,196.65,XAUUSD,1.71,19.1
2008-03-06,2008-06-11,97,223.14,XAUUSD,0.27,23.6
2008-06-12,2009-06-10,363,232.27,XAUUSD,0.99,30.0
2009-12-20,2011-06-23,550,588.18,XAUUSD,1.51,15.6
2011-09-11,2012-05-22,254,743.68,XAUUSD,0.7,21.9
2012-05-29,2013-04-18,324,863.78,XAUUSD,0.89,13.0
2013-04-21,2016-03-08,1052,954.4,XAUUSD,2.88,16.4
2016-06-20,2016-10-28,130,1119.4,XAUUSD,0.36,15.1
2016-10-30,2017-12-11,407,1132.35,XAUUSD,1.11,10.7
2017-12-19,2019-07-01,559,1355.59,XAUUSD,1.53,9.3
2019-07-23,2020-03-30,251,1435.29,XAUUSD,0.69,13.1
2020-03-30,2021-01-13,289,1631.13,XAUUSD,0.79,20.5
2021-02-02,2022-10-17,622,4676.22,XAUUSD,1.7,13.5
2023-02-14,2023-06-15,121,16560.56,XAUUSD,0.33,15.8
2023-06-15,2024-04-10,300,17226.53,XAUUSD,0.82,11.3
2024-04-11,2024-08-15,126,18171.8,XAUUSD,0.34,15.9
2024-08-19,2024-12-31,134,25520.73,XAUUSD,0.37,14.9
