cand,equity_stop,atr_mult,rebound,vol_block,atr_fast,atr_slow,final,dd,months,yup,med,ruin,passes
A,10,5.0,0.65,0.8,20,400,1331.9464089712933,9.682108879027227,74.00881057268722,19,6.428101741307901,False,True
A,14,5.0,0.65,0.8,20,400,1783.324227884611,16.745028315256814,71.36563876651982,19,5.575336112144491,False,True
A,18,5.0,0.65,0.8,20,400,1810.2872812500073,17.36875757820279,74.8898678414097,19,5.390306347426188,False,True
A,22,5.0,0.65,0.8,20,400,1782.4745250000074,19.93987939806317,73.568281938326,19,5.490873651318795,False,True
A,26,5.0,0.65,0.8,20,400,1707.3055848484883,23.895695963717483,66.96035242290749,19,5.413654757908759,False,False
A,32,5.0,0.65,0.8,20,400,1585.2560749999984,29.404691959133842,66.96035242290749,18,6.817083805164881,False,False
A,40,5.0,0.65,0.8,20,400,1739.7203598484778,37.450607811935996,66.96035242290749,18,5.587247789374694,False,False
B,10,5.4,0.65,0.9,15,200,1378.3627380619334,11.488050853942383,68.28193832599119,19,7.150813905134323,False,True
B,14,5.4,0.65,0.9,15,200,1413.6397685714228,15.713857197121461,64.31718061674009,19,6.334730156885704,False,True
B,18,5.4,0.65,0.9,15,200,1311.219786103902,15.998373577392865,62.55506607929515,18,7.106077979211789,False,False
B,22,5.4,0.65,0.9,15,200,2025.6935084615286,18.840707887641113,70.48458149779736,19,6.3430935593274285,False,True
B,26,5.4,0.65,0.9,15,200,1629.515331428586,22.770211853358745,65.19823788546255,18,7.3222789987491765,False,False
B,32,5.4,0.65,0.9,15,200,1640.7616998701294,27.37196065146797,63.87665198237885,18,8.567326594559788,False,False
B,40,5.4,0.65,0.9,15,200,1280.204374220764,34.1641128014,56.82819383259912,17,8.908765524842831,False,False
C,10,5.4,0.65,0.8,15,200,1617.0185949350623,13.18612653854191,74.44933920704845,19,8.265228260892798,False,True
C,14,5.4,0.65,0.8,15,200,1556.6012514935042,15.857471179820223,68.28193832599119,19,7.685759315692087,False,True
C,18,5.4,0.65,0.8,15,200,1591.8067485714225,15.998373577392865,70.92511013215858,18,9.394037870149674,False,False
C,22,5.4,0.65,0.8,15,200,1638.2881385714181,19.648012087246762,70.48458149779736,19,9.60816848127164,False,True
C,26,5.4,0.65,0.8,15,200,1347.8175393506413,22.770211853358745,65.63876651982379,19,11.28951552810653,False,False
C,32,5.4,0.65,0.8,15,200,1649.8677088311688,29.17346325461408,65.19823788546255,17,5.875919459321466,False,False
C,40,5.4,0.65,0.8,15,200,1818.5750698701365,35.75295966416169,67.40088105726872,18,6.713026032988045,False,False
