test_year,atr_mult,rebound,vol_block,atr_fast,train_score,oos_net,oos_dd_pct,oos_trades,baseline_net
2009,5.8,0.65,0.8,20,31.09,186.41,13.3,70,68.83
2010,5.8,0.65,0.8,20,40.81,99.38,16.2,60,70.48
2011,5.0,0.8,0.9,20,50.9,128.17,15.2,85,13.45
2012,4.2,0.8,0.8,5,69.73,88.03,16.8,69,132.49
2013,5.0,0.5,0.9,5,34.72,24.99,20.8,48,12.25
2014,5.8,0.8,1.05,20,26.42,50.32,15.9,64,17.72
2015,5.8,0.8,0.9,20,23.24,14.92,21.2,48,126.91
2016,4.2,0.8,1.05,20,15.13,22.01,18.5,87,62.23
2017,5.8,0.65,0.8,20,21.19,58.48,13.2,52,25.91
2018,5.0,0.65,1.05,10,15.88,41.42,12.4,89,140.35
2019,5.8,0.65,0.9,5,27.6,80.95,14.2,47,34.77
2020,5.0,0.8,0.8,5,19.32,-2.14,18.5,57,10.07
2021,5.0,0.65,0.8,5,30.98,35.73,15.8,64,39.08
2022,4.2,0.8,0.9,5,20.58,32.76,17.5,90,53.28
2023,4.2,0.65,0.8,20,19.83,50.78,14.0,72,49.81
2024,5.8,0.8,0.8,5,15.42,-16.34,19.2,33,19.45
