atr_mult,rebound,vol_block,equity_stop,max_open,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
1.5,0.45,0.8,6.0,20,10,15,-1383.6227569615266,1120.633338255911,7.488986784140969,17,1431.8947368421052,12,True
1.5,0.45,0.8,6.0,40,10,15,-1482.941508312257,1255.9134907429943,7.929515418502203,17,1494.3157894736842,16,True
1.5,0.45,0.8,10.0,20,10,15,-1383.6419569615277,1120.7920724480132,7.488986784140969,17,1432.1052631578948,12,True
1.5,0.45,0.8,10.0,40,10,15,-1485.1836083122564,1278.2374273286625,7.929515418502203,17,1494.4736842105262,16,True
1.5,0.45,0.8,16.0,20,10,15,-1391.680406961526,1191.4487824398402,7.488986784140969,17,1431.8947368421052,12,True
1.5,0.45,0.8,16.0,40,10,15,-1460.1065868836877,1066.2577495650387,7.929515418502203,17,1493.6315789473683,16,True
1.5,0.45,1.0,6.0,20,10,15,-2543.2222509508874,2556.7108360981565,6.167400881057269,18,2063.5789473684213,11,True
1.5,0.45,1.0,6.0,40,10,15,-2566.4092609492104,2626.4067529027725,4.845814977973569,18,2101.0526315789475,16,True
1.5,0.45,1.0,10.0,20,10,15,-2547.3506509508898,2604.4080772965444,6.167400881057269,18,2063.3684210526317,11,True
1.5,0.45,1.0,10.0,40,10,15,-2570.384360949212,2630.3192529027738,4.845814977973569,18,2101.0526315789475,16,True
1.5,0.45,1.0,16.0,20,10,15,-2554.9464009508924,2611.874549071008,6.167400881057269,18,2063.5789473684213,11,True
1.5,0.45,1.0,16.0,40,10,15,-2574.3499109492122,2634.222353296475,4.845814977973569,18,2101.2631578947367,16,True
1.5,0.65,0.8,6.0,20,10,15,-1014.7333736385001,805.956188952983,12.334801762114537,17,1253.0526315789473,12,True
1.5,0.65,0.8,6.0,40,10,15,-1125.9368088907465,880.8501838727706,12.77533039647577,16,1322.2631578947369,16,True
1.5,0.65,0.8,10.0,20,10,15,-1019.3454236385005,832.6706230850789,12.334801762114537,17,1252.6315789473683,12,True
1.5,0.65,0.8,10.0,40,10,15,-1101.3778588907446,752.6687935792622,12.77533039647577,15,1321.6315789473683,16,True
1.5,0.65,0.8,16.0,20,10,15,-1029.2509164956462,896.4915056912805,12.334801762114537,17,1252.157894736842,12,True
1.5,0.65,0.8,16.0,40,10,15,-1101.3778588907446,752.6687935792622,12.77533039647577,15,1321.6315789473683,16,True
1.5,0.65,1.0,6.0,20,10,15,-2331.8922527282048,2395.24521992429,6.167400881057269,18,1813.842105263158,11,True
1.5,0.65,1.0,6.0,40,10,15,-2382.1580908775286,2453.9111569936094,4.845814977973569,18,1860.6315789473683,14,True
1.5,0.65,1.0,10.0,20,10,15,-2335.4090027282095,2398.70670216805,6.167400881057269,18,1813.6842105263158,11,True
1.5,0.65,1.0,10.0,40,10,15,-2386.147340877523,2457.85310363392,4.845814977973569,18,1860.6315789473683,14,True
1.5,0.65,1.0,16.0,20,10,15,-2345.427152728207,2408.56741115796,6.167400881057269,18,1813.6842105263158,11,True
1.5,0.65,1.0,16.0,40,10,15,-2388.444640877521,2460.123162922456,4.845814977973569,18,1860.842105263158,14,True
2.0,0.45,0.8,6.0,20,10,15,-673.7210245725045,367.92048311145885,19.823788546255507,13,1134.1052631578948,12,True
2.0,0.45,0.8,6.0,40,10,15,-797.4874159921546,425.1602285144792,18.06167400881057,13,1186.6315789473683,15,True
2.0,0.45,0.8,10.0,20,10,15,-678.1700245725043,374.54220981765377,19.823788546255507,13,1134.0,12,True
2.0,0.45,0.8,10.0,40,10,15,-814.3820493255014,456.6073432968201,18.06167400881057,13,1186.2631578947369,15,True
2.0,0.45,0.8,16.0,20,10,15,-688.4745198106,390.83420089102,19.823788546255507,13,1133.7894736842106,12,True
2.0,0.45,0.8,16.0,40,10,15,-819.6388493255018,467.3634627061812,18.06167400881057,13,1186.1052631578948,15,True
2.0,0.45,1.0,6.0,20,10,15,-1593.8705318707478,1663.369078370512,11.013215859030836,18,1556.1052631578948,10,True
2.0,0.45,1.0,6.0,40,10,15,-1637.7742322370361,1703.0693727041935,11.013215859030836,18,1583.6842105263158,14,True
2.0,0.45,1.0,10.0,20,10,15,-1596.1237318707476,1665.5772406918065,11.013215859030836,18,1556.2631578947369,10,True
2.0,0.45,1.0,10.0,40,10,15,-1642.1461655703679,1707.3471939696844,11.013215859030836,18,1583.6315789473683,14,True
2.0,0.45,1.0,16.0,20,10,15,-1600.3778652040796,1669.7463410541482,11.013215859030836,18,1556.1052631578948,10,True
2.0,0.45,1.0,16.0,40,10,15,-1643.843132237027,1709.00763102121,11.013215859030836,18,1583.9473684210527,14,True
2.0,0.65,0.8,6.0,20,10,15,-52.13455457581168,112.0326667633269,35.68281938325991,8,980.3157894736842,13,True
2.0,0.65,0.8,6.0,40,10,15,-153.41884941704507,131.71846962148956,31.718061674008812,9,1036.3684210526317,13,True
2.0,0.65,0.8,10.0,20,10,15,-56.206756956764366,113.0933538844677,35.24229074889868,8,980.4736842105264,13,True
2.0,0.65,0.8,10.0,40,10,15,-161.93900655991666,134.07389207272155,31.718061674008812,10,1036.2631578947369,13,True
2.0,0.65,0.8,16.0,20,10,15,-42.88194029009469,109.6668777815693,35.68281938325991,8,980.6842105263158,13,True
2.0,0.65,0.8,16.0,40,10,15,-166.90807322658384,135.48690677439467,31.718061674008812,10,1036.2105263157894,13,True
2.0,0.65,1.0,6.0,20,10,15,-1036.4660669606708,1119.8224062852566,16.299559471365637,15,1324.421052631579,10,True
2.0,0.65,1.0,6.0,40,10,15,-1095.0371439420053,1171.6116868316967,15.859030837004406,16,1357.578947368421,14,True
2.0,0.65,1.0,10.0,20,10,15,-1040.1463336273378,1123.439020541022,16.299559471365637,16,1324.0526315789473,10,True
2.0,0.65,1.0,10.0,40,10,15,-1097.7525439420042,1174.2686339941222,15.859030837004406,16,1357.4736842105262,14,True
2.0,0.65,1.0,16.0,20,10,15,-1047.7837717225766,1130.9443645811546,16.299559471365637,16,1324.421052631579,10,True
2.0,0.65,1.0,16.0,40,10,15,-1100.8773439419963,1177.3261682406896,15.859030837004406,16,1357.6842105263158,14,True
2.5,0.45,0.8,6.0,20,10,15,-30.194279454536968,107.93669567757908,35.68281938325991,7,894.0526315789474,11,True
2.5,0.45,0.8,6.0,40,10,15,-141.99144575491079,136.48127705456625,31.277533039647576,8,919.7368421052631,12,True
2.5,0.45,0.8,10.0,20,10,15,-41.52877231167929,111.16461498145999,35.68281938325991,6,894.3684210526316,11,True
2.5,0.45,0.8,10.0,40,10,15,-153.8703219453872,140.77121656454864,31.277533039647576,9,919.5263157894736,12,True
2.5,0.45,0.8,16.0,20,10,15,-59.99819612120373,116.85927763071038,35.68281938325991,6,894.2105263157895,11,True
2.5,0.45,0.8,16.0,40,10,15,-164.29184575491024,144.7632321793658,31.277533039647576,8,919.7368421052631,12,True
2.5,0.45,1.0,6.0,20,10,15,-832.9331962183527,914.5876795878262,16.299559471365637,16,1153.3684210526317,8,True
2.5,0.45,1.0,6.0,40,10,15,-835.5013791548464,916.2503549879198,17.62114537444934,16,1169.3157894736842,8,True
2.5,0.45,1.0,10.0,20,10,15,-836.4773628850197,918.0521631329551,16.299559471365637,16,1153.421052631579,8,True
2.5,0.45,1.0,10.0,40,10,15,-839.1059958215088,919.7702736126739,17.62114537444934,16,1169.578947368421,8,True
2.5,0.45,1.0,16.0,20,10,15,-841.4628628850184,922.9255746676557,16.299559471365637,16,1153.3684210526317,8,True
