atr_mult,rebound,vol_block,atr_fast,atr_slow,final,max_dd_pct,months_up_pct,median_year_pct,years_up,trades_per_year,ruined
3.8,0.35,0.8,5,150,1189.92,28.3,64.3,9.66,19,91.0,False
3.8,0.35,0.8,5,200,1336.37,23.85,61.2,5.42,19,85.0,False
3.8,0.35,0.8,5,288,1630.08,20.98,63.4,7.89,19,91.0,False
3.8,0.35,0.8,5,400,1145.86,17.96,63.0,9.36,19,93.0,False
3.8,0.35,0.8,10,150,1743.38,14.33,63.0,6.51,18,98.0,False
3.8,0.35,0.8,10,200,1611.71,14.51,67.0,7.4,18,95.0,False
3.8,0.35,0.8,10,288,1227.24,14.46,64.8,7.27,19,98.0,False
3.8,0.35,0.8,10,400,1291.66,14.92,55.9,6.78,18,95.0,False
3.8,0.35,0.8,15,150,1202.96,15.46,54.2,4.66,18,104.0,False
3.8,0.35,0.8,15,200,945.06,14.71,57.3,5.48,15,107.0,False
3.8,0.35,0.8,15,288,848.53,15.54,54.2,3.66,16,104.0,False
3.8,0.35,0.8,15,400,1207.2,15.81,56.8,3.64,17,101.0,False
3.8,0.35,0.8,20,150,1187.85,23.39,56.4,4.9,19,105.0,False
3.8,0.35,0.8,20,200,1022.83,23.7,59.0,6.5,16,111.0,False
3.8,0.35,0.8,20,288,1082.24,22.76,59.0,5.2,17,111.0,False
3.8,0.35,0.8,20,400,1215.3,19.1,62.6,8.69,19,102.0,False
3.8,0.35,0.8,30,150,1195.09,13.95,59.0,9.49,18,107.0,False
3.8,0.35,0.8,30,200,1377.36,12.76,63.9,4.98,19,112.0,False
3.8,0.35,0.8,30,288,1072.2,22.38,55.9,4.98,18,113.0,False
3.8,0.35,0.8,30,400,958.31,11.09,56.4,4.25,16,107.0,False
3.8,0.35,0.9,5,150,1003.74,23.93,57.7,7.41,17,109.0,False
3.8,0.35,0.9,5,200,1229.38,24.12,58.6,6.59,19,99.0,False
3.8,0.35,0.9,5,288,1099.67,24.09,61.7,4.81,18,105.0,False
3.8,0.35,0.9,5,400,1038.89,20.98,62.1,6.1,19,101.0,False
3.8,0.35,0.9,10,150,1262.33,14.67,60.4,7.46,19,113.0,False
3.8,0.35,0.9,10,200,911.41,15.58,57.7,6.8,19,113.0,False
3.8,0.35,0.9,10,288,1154.51,15.28,59.9,6.29,18,115.0,False
3.8,0.35,0.9,10,400,1001.95,14.74,55.5,4.73,16,115.0,False
3.8,0.35,0.9,15,150,1088.59,13.97,56.4,4.78,19,122.0,False
3.8,0.35,0.9,15,200,915.85,18.19,53.3,3.5,19,121.0,False
3.8,0.35,0.9,15,288,813.88,22.07,54.6,4.98,17,120.0,False
3.8,0.35,0.9,15,400,923.26,14.42,53.7,4.29,18,121.0,False
3.8,0.35,0.9,20,150,1213.47,25.72,56.8,9.98,18,126.0,False
3.8,0.35,0.9,20,200,1014.16,29.11,57.7,5.46,16,123.0,False
3.8,0.35,0.9,20,288,680.23,27.06,54.6,4.63,15,125.0,False
3.8,0.35,0.9,20,400,998.6,26.91,56.8,6.85,18,121.0,False
3.8,0.35,0.9,30,150,614.45,31.41,52.0,5.2,16,121.0,False
3.8,0.35,0.9,30,200,573.57,24.89,53.3,1.04,16,128.0,False
3.8,0.35,0.9,30,288,691.75,22.07,50.2,3.98,15,135.0,False
3.8,0.35,0.9,30,400,580.54,17.87,52.4,2.06,14,128.0,False
3.8,0.35,1.0,5,150,795.63,23.87,56.8,4.42,16,113.0,False
3.8,0.35,1.0,5,200,824.02,25.16,54.6,4.39,17,111.0,False
3.8,0.35,1.0,5,288,895.59,24.99,55.5,5.19,17,113.0,False
3.8,0.35,1.0,5,400,884.95,23.2,53.7,7.36,18,113.0,False
3.8,0.35,1.0,10,150,1121.23,20.02,59.9,3.56,15,131.0,False
