start,end,days,balance,market,years,market_vol_pct
2006-01-12,2006-05-30,138,102.94,EURUSD,0.38,8.0
2006-06-04,2008-09-23,842,121.9,EURUSD,2.31,7.2
2009-03-26,2010-10-12,565,209.8,EURUSD,1.55,11.1
2011-01-02,2011-05-17,135,287.58,EURUSD,0.37,10.3
2011-11-20,2012-02-28,100,429.14,EURUSD,0.27,11.5
2012-03-01,2014-10-09,952,433.35,EURUSD,2.61,6.8
2014-11-05,2015-06-23,230,472.35,EURUSD,0.63,10.9
2015-06-25,2019-07-17,1483,474.49,EURUSD,4.06,7.8
2020-07-20,2021-05-06,290,513.79,EURUSD,0.79,6.0
2021-06-15,2024-02-01,961,546.58,EURUSD,2.63,7.7
2024-08-01,2024-12-31,152,615.03,EURUSD,0.42,6.0
2006-02-23,2006-06-15,112,173.18,XAUUSD,0.31,24.5
2006-06-20,2008-03-04,623,196.65,XAUUSD,1.71,19.1
2008-04-23,2008-09-30,160,249.93,XAUUSD,0.44,24.6
2008-10-16,2009-06-09,236,308.76,XAUUSD,0.65,32.1
2010-02-08,2011-06-23,500,455.98,XAUUSD,1.37,15.2
2011-09-06,2012-05-10,247,504.95,XAUUSD,0.68,22.1
2012-05-29,2013-11-27,547,568.16,XAUUSD,1.5,17.5
2013-12-04,2015-07-20,593,594.83,XAUUSD,1.62,14.6
2015-07-26,2016-03-07,225,604.43,XAUUSD,0.62,13.7
2016-03-21,2017-10-23,581,633.62,XAUUSD,1.59,12.9
2018-01-10,2019-07-23,559,662.97,XAUUSD,1.53,9.5
2019-08-01,2020-03-09,221,665.97,XAUUSD,0.61,12.4
2020-03-24,2020-10-26,216,726.31,XAUUSD,0.59,21.7
2021-02-02,2021-12-07,308,880.72,XAUUSD,0.84,13.5
2022-03-23,2022-09-16,177,955.45,XAUUSD,0.48,14.5
2022-09-18,2022-12-23,96,960.34,XAUUSD,0.26,15.3
2023-06-25,2023-10-06,103,1074.59,XAUUSD,0.28,9.8
2023-10-19,2024-10-03,350,1092.99,XAUUSD,0.96,14.0
