atr_mult,rebound,vol_block,atr_fast,max_open,equity_stop,final,dd,net,months,yup,tpy,ruin,trades
4.0,0.55,0.7,10,10,4.0,2106.7819992063214,31.093931806131202,2006.7819992063212,90.30837004405286,19,280.4917843759008,False,5328
4.0,0.55,0.7,10,10,6.0,2226.7552571428105,23.52202969233841,2126.7552571428105,85.02202643171806,19,275.0167195157106,False,5224
4.0,0.55,0.7,10,10,9.0,2330.07967539682,12.361924230163023,2230.07967539682,85.02202643171806,19,276.49077543960794,False,5252
4.0,0.55,0.7,10,12,4.0,2133.070802380912,32.01097279212436,2033.0708023809118,87.66519823788546,19,323.76585471317384,False,6150
4.0,0.55,0.7,10,12,6.0,2105.4325150793466,21.72549044281881,2005.4325150793466,87.22466960352423,19,307.7618189680023,False,5846
4.0,0.55,0.7,10,12,9.0,2310.856730158703,35.60002672401809,2210.856730158703,82.37885462555066,19,310.70993081579707,False,5902
4.0,0.55,0.7,10,15,4.0,2180.3129777777526,22.93399663441898,2080.3129777777526,87.66519823788546,19,357.45856154511387,False,6790
4.0,0.55,0.7,10,15,6.0,2025.9792936508047,23.655207828944295,1925.9792936508047,87.66519823788546,19,349.8777025079273,False,6646
4.0,0.55,0.7,10,15,9.0,2209.74035238092,12.493216325448012,2109.74035238092,82.37885462555066,19,347.8771980397809,False,6608
4.0,0.55,0.7,15,10,4.0,2056.7345944443955,11.934731392210145,1957.1782867520876,84.58149779735683,19,280.64971893917556,False,5331
4.0,0.55,0.7,15,10,6.0,2200.500288289456,13.231422594712292,2100.943980597148,80.61674008810573,19,282.9134476794465,False,5374
4.0,0.55,0.7,15,10,9.0,2085.316730719241,43.08308597780094,1985.7604230269333,81.05726872246696,19,281.38674690112424,False,5345
4.0,0.55,0.7,15,12,4.0,1987.380559479346,25.796048997815298,1887.824251787038,85.90308370044053,19,318.18550014413375,False,6044
4.0,0.55,0.7,15,12,6.0,1996.2730857919405,37.668797349061215,1896.2730857919405,81.4977973568282,19,312.4998558662439,False,5936
4.0,0.55,0.7,15,12,9.0,2122.5302376511745,21.846535135788642,2022.5302376511745,80.61674008810573,19,307.34066013260303,False,5838
4.0,0.55,0.7,15,15,4.0,2026.894005094799,24.810008861422787,1926.894005094799,83.25991189427313,19,347.35074949553183,False,6598
4.0,0.55,0.7,15,15,6.0,2052.056848967598,34.43244507190608,1952.0568489675977,82.37885462555066,19,349.03538483712884,False,6630
4.0,0.55,0.7,15,15,9.0,2115.634470790217,22.649249722994785,2015.6344707902172,79.73568281938326,19,340.0857595848948,False,6460
4.0,0.55,0.7,20,10,4.0,2028.9600082705886,40.41762069453665,1928.9107082705884,86.34361233480176,19,282.2817094263476,False,5362
4.0,0.55,0.7,20,10,6.0,2012.1591770109744,20.10002137214321,1912.1591770109744,85.46255506607929,19,274.75349524358603,False,5219
4.0,0.55,0.7,20,10,9.0,1932.302977408321,17.60036340653171,1832.302977408321,80.61674008810573,19,275.4378783511098,False,5232
4.0,0.55,0.7,20,12,4.0,1938.7616452053624,40.83144255142735,1838.7616452053624,83.70044052863436,19,321.7127053906025,False,6111
4.0,0.55,0.7,20,12,6.0,1837.6393210896426,34.90096607526903,1737.6393210896426,81.05726872246696,19,316.65879936581143,False,6015
4.0,0.55,0.7,20,12,9.0,1865.707633394151,17.89776506182898,1765.707633394151,78.41409691629956,19,314.3950706255405,False,5972
4.0,0.55,0.7,20,15,4.0,1985.7269533868696,38.26384323703173,1885.7269533868696,82.81938325991189,19,351.2464687229749,False,6672
4.0,0.55,0.7,20,15,6.0,1877.3983688085737,31.22229567728838,1777.3983688085737,80.61674008810573,19,347.29810464110693,False,6597
4.0,0.55,0.7,20,15,9.0,1876.4610592487968,28.623243893163725,1776.631559248797,77.5330396475771,19,341.4018809455174,False,6485
4.0,0.55,0.8,10,10,4.0,1905.0679341269142,23.512621627882744,1805.0679341269142,85.90308370044053,19,339.92782502162004,False,6457
4.0,0.55,0.8,10,10,6.0,1975.7530999999603,14.957592037839214,1875.7530999999603,84.14096916299559,19,335.7162366676275,False,6377
4.0,0.55,0.8,10,10,9.0,2049.8825261904094,13.842142993296317,1949.3097261904095,79.29515418502203,19,328.18802248486594,False,6234
4.0,0.55,0.8,10,12,4.0,1738.9456269840375,22.920763563446304,1638.9456269840375,85.46255506607929,19,379.99055923897373,False,7218
4.0,0.55,0.8,10,12,6.0,1941.953377777732,16.364313581296035,1841.953377777732,85.46255506607929,19,380.5696526376477,False,7229
4.0,0.55,0.8,10,12,9.0,2207.613966666627,13.076643245635964,2107.613966666627,81.05726872246696,19,371.56738253098877,False,7058
4.0,0.55,0.8,10,15,4.0,1740.172257142793,23.67984061009265,1640.172257142793,83.25991189427313,19,402.7857812049582,False,7651
4.0,0.55,0.8,10,15,6.0,1890.791726190429,16.46039207649387,1790.791726190429,83.70044052863436,19,400.20618333813775,False,7602
4.0,0.55,0.8,10,15,9.0,1893.0728365078814,14.122419855916466,1793.0728365078814,78.8546255506608,19,392.67796915537616,False,7459
4.0,0.55,0.8,15,10,4.0,1780.9825560994748,20.20229259480442,1680.9825560994748,86.78414096916299,19,347.5086840588066,False,6601
4.0,0.55,0.8,15,10,6.0,1798.3680123432368,19.404801858263454,1698.3680123432368,83.70044052863436,19,341.03336696454306,False,6478
4.0,0.55,0.8,15,10,9.0,1968.7752597125166,19.29156759221458,1868.7752597125166,80.61674008810573,19,333.03134909195734,False,6326
4.0,0.55,0.8,15,12,4.0,1674.3414568931273,16.123773452565803,1574.3414568931273,81.05726872246696,19,378.41121360622657,False,7188
4.0,0.55,0.8,15,12,6.0,1804.7246864635563,19.553353165319994,1704.7246864635563,79.29515418502203,19,369.5142332084174,False,7019
4.0,0.55,0.8,15,12,9.0,1659.592406604533,19.44989349169798,1559.592406604533,77.09251101321586,19,369.6721677716921,False,7022
4.0,0.55,0.8,15,15,4.0,1664.1904226107426,16.451507732209055,1564.1904226107426,79.29515418502203,19,399.94295906601326,False,7597
4.0,0.55,0.8,15,15,6.0,1704.0624278721568,18.589891023882075,1604.0624278721568,78.41409691629956,19,391.9935860478524,False,7446
4.0,0.55,0.8,15,15,9.0,1689.6869567377184,18.7223138590817,1589.6869567377184,76.2114537444934,18,388.20315652925916,False,7374
4.0,0.55,0.8,20,10,4.0,1820.7868382263864,22.22935925730271,1720.7868382263864,82.37885462555066,19,354.2472254251946,False,6729
4.0,0.55,0.8,20,10,6.0,1838.5783885324654,23.894828620188715,1738.5783885324654,81.93832599118943,19,347.824553185356,False,6607
4.0,0.55,0.8,20,10,9.0,2010.451214569447,26.44641084698026,1910.545214569447,80.1762114537445,19,346.139917843759,False,6575
4.0,0.55,0.8,20,12,4.0,1740.1773772752558,24.064076947862816,1640.1773772752558,81.4977973568282,19,375.46310175843183,False,7132
4.0,0.55,0.8,20,12,6.0,1663.714420499009,25.532516369973095,1563.714420499009,78.8546255506608,19,377.1477371000288,False,7164
4.0,0.55,0.8,20,12,9.0,1752.7138330628572,26.04636447499574,1652.7138330628572,75.33039647577093,19,376.2001297203805,False,7146
4.0,0.55,0.8,20,15,4.0,1688.1532996716464,21.81142254651402,1588.1532996716464,79.29515418502203,19,404.36512683770536,False,7681
4.0,0.55,0.8,20,15,6.0,1689.2383764139217,21.886081338904216,1589.2383764139217,79.29515418502203,18,405.2600893629288,False,7698
4.0,0.55,0.8,20,15,9.0,1849.6755291792826,20.295174678992197,1749.6755291792826,77.5330396475771,19,400.04824877486305,False,7599
4.0,0.55,0.9,10,10,4.0,1685.904614285671,14.97374637694873,1585.904614285671,77.09251101321586,19,400.89056644566153,False,7615
4.0,0.55,0.9,10,10,6.0,1701.4631253967507,11.247278303775559,1601.4631253967507,74.8898678414097,19,387.4134837128855,False,7359
4.0,0.55,0.9,10,10,9.0,1696.7016222221912,15.037807888843831,1596.7016222221912,69.60352422907489,18,381.8857739982704,False,7254
4.0,0.55,0.9,10,12,4.0,1575.6560920634327,14.874807041947507,1475.6560920634327,81.4977973568282,19,417.5789852983569,False,7932
4.0,0.55,0.9,10,12,6.0,1710.6101238094475,11.15404209379851,1610.6101238094475,81.4977973568282,19,416.84195733640814,False,7918
4.0,0.55,0.9,10,12,9.0,1536.6813063491513,16.512323435723133,1436.6813063491513,72.68722466960352,19,407.2079489766503,False,7735
4.0,0.55,0.9,10,15,4.0,1504.1055134920105,14.951688958390447,1404.1055134920105,79.29515418502203,19,443.90141251081,False,8432
4.0,0.55,0.9,10,15,6.0,1548.011226984088,11.197216359021086,1448.011226984088,76.65198237885463,19,440.16362784664165,False,8361
4.0,0.55,0.9,10,15,9.0,1427.6288476189986,16.607118357743058,1327.6288476189986,74.8898678414097,18,437.2681608532718,False,8306
4.0,0.55,0.9,15,10,4.0,1589.1577003885025,16.411288512472126,1489.1577003885025,81.4977973568282,19,383.93892332084175,False,7293
4.0,0.55,0.9,15,10,6.0,1615.9889919746663,18.987519277295284,1515.9889919746663,78.41409691629956,19,390.15101614298067,False,7411
4.0,0.55,0.9,15,10,9.0,1630.4881668719934,14.794332123383501,1530.4881668719934,73.12775330396477,19,379.09559671375035,False,7201
4.0,0.55,0.9,15,12,4.0,1399.9168357198357,18.601679115077285,1299.9168357198357,78.41409691629956,19,418.31601326030557,False,7946
4.0,0.55,0.9,15,12,6.0,1551.5543506992833,18.89106702700357,1451.5543506992833,74.44933920704845,19,413.3147520899395,False,7851
4.0,0.55,0.9,15,12,9.0,1551.8355556443437,16.35262671912111,1451.8355556443437,72.24669603524228,19,407.57646295762464,False,7742
4.0,0.55,0.9,15,15,4.0,1399.1634209956785,18.67055704403882,1299.0054209956784,78.8546255506608,18,435.5835255116748,False,8274
4.0,0.55,0.9,15,15,6.0,1521.9178887057237,18.964096402940907,1421.9178887057237,76.65198237885463,19,433.47773133467854,False,8234
4.0,0.55,0.9,15,15,9.0,1410.4086779164995,16.8736464334672,1310.4086779164995,72.24669603524228,18,426.8971245315653,False,8109
4.0,0.55,0.9,20,10,4.0,1462.8502508868796,19.67196834064187,1362.8502508868796,80.61674008810573,19,398.5741928509657,False,7571
4.0,0.55,0.9,20,10,6.0,1522.456083645296,18.722597526672644,1422.456083645296,76.65198237885463,19,397.67923032574225,False,7554
4.0,0.55,0.9,20,10,9.0,1624.0941327890148,20.894877520603004,1524.0941327890148,75.77092511013215,19,389.3086984721822,False,7395
4.0,0.55,0.9,20,12,4.0,1391.3963729812046,20.155307452544758,1291.3963729812046,80.61674008810573,19,420.2638728740271,False,7983
4.0,0.55,0.9,20,12,6.0,1422.4846445235348,20.97907932162699,1322.4846445235348,81.93832599118943,19,415.5784808302104,False,7894
4.0,0.55,0.9,20,12,9.0,1250.5797552575782,21.260899452923216,1150.5797552575782,74.8898678414097,19,409.94548140674544,False,7787
4.0,0.55,0.9,20,15,4.0,1458.571950640743,19.834877036317682,1358.571950640743,81.4977973568282,19,441.4271043528394,False,8385
4.0,0.55,0.9,20,15,6.0,1429.5787027338727,21.085045461942567,1329.4279884481584,79.73568281938326,19,438.6895719227443,False,8333
4.0,0.55,0.9,20,15,9.0,1493.409003721651,21.225595048200514,1393.409003721651,76.2114537444934,19,435.478235802825,False,8272
4.0,0.65,0.7,10,10,4.0,2152.3797341269483,32.129242865852675,2052.3797341269483,89.86784140969164,19,256.5383756125685,False,4873
4.0,0.65,0.7,10,10,6.0,2283.7012460317046,18.713953565092215,2183.7012460317046,92.07048458149781,19,249.11545113865665,False,4732
4.0,0.65,0.7,10,10,9.0,2579.931227777744,16.703786191537525,2479.931227777744,83.70044052863436,19,237.0597794753531,False,4503
4.0,0.65,0.7,10,12,4.0,2142.131384920617,30.598904740313404,2042.131384920617,88.54625550660793,19,293.9688671086768,False,5584
4.0,0.65,0.7,10,12,6.0,2326.9688182539508,19.939178531330885,2226.9688182539508,88.10572687224669,19,292.28423176707986,False,5552
4.0,0.65,0.7,10,12,9.0,2505.658096031735,29.45534014169784,2405.658096031735,88.10572687224669,19,283.17667195157105,False,5379
4.0,0.65,0.7,10,15,4.0,2147.764625396837,21.779762132418945,2047.764625396837,88.10572687224669,19,322.60766791582586,False,6128
4.0,0.65,0.7,10,15,6.0,2326.5411547618764,28.09792185341654,2226.5411547618764,88.98678414096916,19,323.6079201498991,False,6147
4.0,0.65,0.7,10,15,9.0,2492.205067460252,26.300986754123063,2392.205067460252,85.46255506607929,19,312.9210147016431,False,5944
4.0,0.65,0.7,15,10,4.0,2339.0207635308684,24.720864683592204,2239.0207635308684,90.30837004405286,19,254.01142260017295,False,4825
4.0,0.65,0.7,15,10,6.0,2356.301311721582,26.904166192059005,2256.301311721582,86.34361233480176,19,253.16910492937444,False,4809
4.0,0.65,0.7,15,10,9.0,2416.789397580183,27.86609407977747,2316.789397580183,83.25991189427313,19,247.5887503603344,False,4703
4.0,0.65,0.7,15,12,4.0,2415.3995484015823,25.243044168219882,2315.3995484015823,87.22466960352423,19,289.38876477370997,False,5497
4.0,0.65,0.7,15,12,6.0,2389.1917982683635,22.46323190018732,2289.1917982683635,88.10572687224669,19,284.3875036033439,False,5402
4.0,0.65,0.7,15,12,9.0,2338.3479151404117,25.562386154097833,2238.3479151404117,83.25991189427313,19,274.54291582588644,False,5215
4.0,0.65,0.7,15,15,4.0,2429.7518951992074,24.67187318498784,2329.7518951992074,88.10572687224669,19,320.5018737388296,False,6088
4.0,0.65,0.7,15,15,6.0,2475.565263436538,35.79753085614541,2375.565263436538,88.98678414096916,19,325.2399106370712,False,6178
4.0,0.65,0.7,15,15,9.0,2325.189813203415,52.56554298185979,2225.189813203415,83.70044052863436,19,315.92177140386275,False,6001
4.0,0.65,0.7,20,10,4.0,2251.909905338629,23.89761008321756,2151.909905338629,89.86784140969164,19,258.6968146439896,False,4914
4.0,0.65,0.7,20,10,6.0,2190.9596395949166,13.95023035123012,2090.9596395949166,90.7488986784141,19,253.53761891034878,False,4816
4.0,0.65,0.7,20,10,9.0,2366.2854602858383,26.076270918065962,2266.2854602858383,84.14096916299559,19,245.74618045546265,False,4668
4.0,0.65,0.7,20,12,4.0,2210.3086344070493,31.779573146662788,2110.2843344070493,90.30837004405286,19,296.0220164312482,False,5623
4.0,0.65,0.7,20,12,6.0,2220.732571979963,18.32191130011619,2120.732571979963,89.42731277533039,19,283.33460651484575,False,5382
4.0,0.65,0.7,20,12,9.0,2246.9044131610995,33.194791714772016,2146.8801131610994,80.61674008810573,19,281.7552608820986,False,5352
4.0,0.65,0.7,20,15,4.0,2160.452027737829,29.576793848467336,2060.452027737829,87.22466960352423,19,323.29205102334964,False,6141
4.0,0.65,0.7,20,15,6.0,2064.696694945418,37.362417242195875,1964.696694945418,85.46255506607929,19,319.4489766503315,False,6068
4.0,0.65,0.7,20,15,9.0,2370.601208334716,29.725344932254195,2270.601208334716,86.34361233480176,19,319.92278034015567,False,6077
4.0,0.65,0.8,10,10,4.0,2329.6991547619195,19.926015491255544,2229.6991547619195,89.42731277533039,19,310.3940616892476,False,5896
4.0,0.65,0.8,10,10,6.0,2261.049435714287,21.645930301363627,2161.049435714287,84.58149779735683,19,302.1288195445373,False,5739
4.0,0.65,0.8,10,10,9.0,2247.4737174603324,22.052821359083268,2147.4737174603324,81.4977973568282,19,294.91647448832515,False,5602
4.0,0.65,0.8,10,12,4.0,2207.9551746031552,21.171690858003725,2107.9551746031552,87.66519823788546,19,344.455282502162,False,6543
4.0,0.65,0.8,10,12,6.0,2275.0757968253647,22.199030249520472,2175.0757968253647,86.34361233480176,19,340.7701426924186,False,6473
4.0,0.65,0.8,10,12,9.0,2329.9906968253763,18.471478598337363,2229.9906968253763,81.4977973568282,19,326.7139665609686,False,6206
4.0,0.65,0.8,10,15,4.0,2167.1000801587143,20.03290594124439,2067.1000801587143,88.54625550660793,19,373.8837561256846,False,7102
4.0,0.65,0.8,10,15,6.0,2197.6926015872596,22.94533932272659,2097.6926015872596,85.46255506607929,19,366.5661213606226,False,6963
