market,mode,year,opening_balance,closing_balance,gain_usd,gain_pct,max_drawdown_pct_of_peak,lot_used,trades,win_pct
EURUSD,fixed_lot,2006,100.0,87.25,-12.75,-12.75,29.34,0.01,153,43.1
EURUSD,fixed_lot,2007,87.25,80.82,-6.44,-7.38,15.13,0.01,141,31.9
EURUSD,fixed_lot,2008,80.82,175.67,94.85,117.37,16.22,0.01,147,45.6
EURUSD,fixed_lot,2009,175.67,196.57,20.91,11.9,13.97,0.01,145,38.6
EURUSD,fixed_lot,2010,196.57,287.58,91.01,46.3,8.78,0.01,151,53.6
EURUSD,fixed_lot,2011,287.58,409.92,122.34,42.54,9.21,0.01,160,58.1
EURUSD,fixed_lot,2012,409.92,411.67,1.75,0.43,6.89,0.01,137,42.3
EURUSD,fixed_lot,2013,411.67,418.22,6.55,1.59,1.94,0.01,111,46.8
EURUSD,fixed_lot,2014,418.22,454.18,35.96,8.6,5.13,0.01,115,48.7
EURUSD,fixed_lot,2015,454.18,454.17,-0.01,-0.0,5.13,0.01,112,38.4
EURUSD,fixed_lot,2016,454.17,444.64,-9.52,-2.1,2.56,0.01,132,42.4
EURUSD,fixed_lot,2017,444.64,438.45,-6.2,-1.39,3.53,0.01,140,38.6
EURUSD,fixed_lot,2018,438.45,447.39,8.94,2.04,1.33,0.01,125,41.6
EURUSD,fixed_lot,2019,447.39,492.15,44.77,10.01,3.67,0.01,121,64.5
EURUSD,fixed_lot,2020,492.15,492.72,0.56,0.11,4.66,0.01,151,56.3
EURUSD,fixed_lot,2021,492.72,525.27,32.56,6.61,4.39,0.01,121,45.5
EURUSD,fixed_lot,2022,525.27,530.38,5.11,0.97,4.47,0.01,132,43.2
EURUSD,fixed_lot,2023,530.38,529.29,-1.09,-0.21,2.38,0.01,105,35.2
EURUSD,fixed_lot,2024,529.29,593.92,64.63,12.21,3.9,0.01,111,72.1
EURUSD,compounding,2006,100.0,87.25,-12.75,-12.75,29.34,0.01,153,43.1
EURUSD,compounding,2007,87.25,80.82,-6.44,-7.38,15.13,0.01,141,31.9
EURUSD,compounding,2008,80.82,175.67,94.85,117.37,16.22,0.01,147,45.6
EURUSD,compounding,2009,175.67,196.69,21.03,11.97,22.11,0.02,146,39.7
EURUSD,compounding,2010,196.69,200.44,3.75,1.91,19.14,0.02,140,50.7
EURUSD,compounding,2011,200.44,203.9,3.46,1.73,20.53,0.02,139,44.6
EURUSD,compounding,2012,203.9,194.44,-9.46,-4.64,19.55,0.02,129,38.0
EURUSD,compounding,2013,194.44,345.95,151.51,77.92,12.65,0.03,106,57.5
EURUSD,compounding,2014,345.95,300.01,-45.94,-13.28,20.1,0.03,115,60.0
EURUSD,compounding,2015,300.01,389.02,89.01,29.67,19.95,0.04,121,52.9
EURUSD,compounding,2016,389.02,332.25,-56.77,-14.59,27.9,0.04,131,44.3
EURUSD,compounding,2017,332.25,313.66,-18.59,-5.59,13.31,0.03,140,38.6
EURUSD,compounding,2018,313.66,334.0,20.34,6.48,5.54,0.03,125,41.6
EURUSD,compounding,2019,334.0,363.17,29.17,8.73,14.52,0.04,130,41.5
EURUSD,compounding,2020,363.17,386.8,23.62,6.5,13.69,0.04,123,42.3
EURUSD,compounding,2021,386.8,395.51,8.71,2.25,13.63,0.04,126,40.5
EURUSD,compounding,2022,395.51,622.3,226.79,57.34,18.93,0.05,128,46.1
EURUSD,compounding,2023,622.3,592.5,-29.8,-4.79,20.81,0.07,108,38.0
EURUSD,compounding,2024,592.5,1671.98,1079.48,182.19,20.64,0.18,132,77.3
XAUUSD,fixed_lot,2006,100.0,172.78,72.78,72.78,15.71,0.01,124,53.2
XAUUSD,fixed_lot,2007,172.78,179.93,7.15,4.14,10.5,0.01,107,36.4
XAUUSD,fixed_lot,2008,179.93,287.29,107.35,59.66,12.32,0.01,139,54.0
XAUUSD,fixed_lot,2009,287.29,403.82,116.53,40.56,7.34,0.01,158,53.2
XAUUSD,fixed_lot,2010,403.82,433.51,29.69,7.35,7.25,0.01,137,45.3
XAUUSD,fixed_lot,2011,433.51,488.83,55.32,12.76,6.15,0.01,136,44.9
XAUUSD,fixed_lot,2012,488.83,550.77,61.93,12.67,6.86,0.01,116,50.9
XAUUSD,fixed_lot,2013,550.77,575.23,24.46,4.44,6.08,0.01,134,37.3
XAUUSD,fixed_lot,2014,575.23,575.51,0.28,0.05,2.36,0.01,126,42.1
XAUUSD,fixed_lot,2015,575.51,595.09,19.58,3.4,5.11,0.01,121,42.1
XAUUSD,fixed_lot,2016,595.09,610.41,15.32,2.57,5.44,0.01,154,48.7
XAUUSD,fixed_lot,2017,610.41,631.34,20.92,3.43,4.65,0.01,152,53.3
XAUUSD,fixed_lot,2018,631.34,636.07,4.73,0.75,4.7,0.01,161,46.0
XAUUSD,fixed_lot,2019,636.07,641.61,5.55,0.87,5.79,0.01,175,42.3
XAUUSD,fixed_lot,2020,641.61,737.74,96.13,14.98,7.41,0.01,144,42.4
XAUUSD,fixed_lot,2021,737.74,895.63,157.89,21.4,3.54,0.01,127,51.2
XAUUSD,fixed_lot,2022,895.63,973.43,77.81,8.69,3.36,0.01,139,45.3
XAUUSD,fixed_lot,2023,973.43,1073.77,100.34,10.31,2.84,0.01,131,51.1
XAUUSD,fixed_lot,2024,1073.77,1095.9,22.13,2.06,3.88,0.01,131,41.2
XAUUSD,compounding,2006,100.0,172.78,72.78,72.78,15.71,0.01,124,53.2
XAUUSD,compounding,2007,172.78,179.93,7.15,4.14,10.5,0.01,107,36.4
XAUUSD,compounding,2008,179.93,188.74,8.81,4.9,23.4,0.02,139,53.2
XAUUSD,compounding,2009,188.74,494.72,305.98,162.12,23.78,0.06,160,58.8
XAUUSD,compounding,2010,494.72,502.32,7.6,1.54,18.44,0.05,132,43.9
XAUUSD,compounding,2011,502.32,640.69,138.37,27.55,37.18,0.07,143,43.4
XAUUSD,compounding,2012,640.69,732.63,91.94,14.35,24.58,0.08,109,44.0
XAUUSD,compounding,2013,732.63,791.17,58.54,7.99,32.91,0.09,136,38.2
XAUUSD,compounding,2014,791.17,789.55,-1.62,-0.21,12.01,0.07,126,42.1
